#BLTrackFile2 Control
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.13892 -3.38253 105510 0.362761 1.95579 8912.14 353.896 2212 1 1 0 1 0 0 0 0 0 0 37.0535 105512 0 0 0 1.75026 0.73893 0 0 8023.12 
0.279224 -0.0236696 105510 -4.20242 1.07282 8881.59 353.903 2212 2 1 0 1 0 0 0 0 0 0 37.1802 105510 0 0 0 -2.18434 -0.461093 0 0 7992.75 
-1.41672 1.97091 105510 2.4659 1.1648 8850.7 353.91 2212 3 1 0 1 0 0 0 0 0 0 37.3093 105508 0 0 0 2.6851 -1.04083 0 0 7962.03 
-0.793287 1.1652 105510 1.41262 1.10906 8869.86 353.905 2212 4 1 0 1 0 0 0 0 0 0 37.2291 105509 0 0 0 1.49016 -0.910935 0 0 7981.07 
-1.09787 -0.635224 105510 4.80926 2.30577 8866.23 353.906 2212 5 1 0 1 0 0 0 0 0 0 37.2443 105509 0 0 0 3.32011 -0.042043 0 0 7977.47 
-0.0424077 1.35853 105510 -0.736837 1.09552 8860.19 353.907 2212 6 1 0 1 0 0 0 0 0 0 37.2695 105509 0 0 0 -0.423924 -0.856072 0 0 7971.46 
-0.0975928 1.12949 105510 1.43698 4.84941 8899.3 353.899 2212 7 1 0 1 0 0 0 0 0 0 37.1066 105511 0 0 0 0.68916 -2.01994 0 0 8010.36 
-0.757212 -4.02974 105510 2.96418 0.938338 8947.94 353.888 2212 8 1 0 1 0 0 0 0 0 0 36.906 105514 0 0 0 2.24655 0.810441 0 0 8058.72 
-0.229373 1.50109 105510 0.856948 0.896603 8920.1 353.894 2212 9 1 0 1 0 0 0 0 0 0 37.0205 105513 0 0 0 0.760796 -1.77945 0 0 8031.04 
-0.694281 -2.3427 105510 0.344657 1.81489 8874.06 353.905 2212 10 1 0 1 0 0 0 0 0 0 37.2116 105510 0 0 0 0.9334 0.863595 0 0 7985.25 
0.921172 -3.09639 105510 -4.07163 1.8422 8861.63 353.908 2212 11 1 0 1 0 0 0 0 0 0 37.2636 105509 0 0 0 -3.07635 1.4294 0 0 7972.89 
0.541235 1.51872 105510 -2.44611 1.86089 8889.49 353.901 2212 12 1 0 1 0 0 0 0 0 0 37.1473 105511 0 0 0 -1.78445 -1.51091 0 0 8000.59 
1.62272 -2.8531 105510 -2.14878 0.835419 8892.69 353.9 2212 13 1 0 1 0 0 0 0 0 0 37.1341 105511 0 0 0 -3.02079 0.959189 0 0 8003.78 
-1.47583 0.399555 105510 -0.0512232 -0.142658 8884.24 353.902 2212 14 1 0 1 0 0 0 0 0 0 37.1691 105510 0 0 0 1.83979 -0.523772 0 0 7995.38 
0.576058 -0.408002 105510 0.245126 0.260254 8868.47 353.906 2212 15 1 0 1 0 0 0 0 0 0 37.2349 105509 0 0 0 -0.749481 0.043346 0 0 7979.69 
-1.1166 -0.97237 105510 -0.923354 2.21901 8854.81 353.909 2212 16 1 0 1 0 0 0 0 0 0 37.2921 105509 0 0 0 0.800953 0.323179 0 0 7966.11 
0.253276 -0.693692 105510 -2.21267 0.729891 8870.34 353.905 2212 17 1 0 1 0 0 0 0 0 0 37.2271 105510 0 0 0 -1.41596 0.109707 0 0 7981.55 
0.987586 1.66983 105510 -2.39773 2.26438 8948.5 353.888 2212 18 1 0 1 0 0 0 0 0 0 36.9037 105514 0 0 0 -1.76531 -2.57436 0 0 8059.28 
0.868505 0.0297844 105510 -4.23122 0.90031 8859.42 353.908 2212 19 1 0 1 0 0 0 0 0 0 37.2728 105509 0 0 0 -3.09079 -0.144711 0 0 7970.69 
-0.453137 0.903117 105510 -2.38208 1.53615 8868.26 353.906 2212 20 1 0 1 0 0 0 0 0 0 37.2358 105509 0 0 0 -0.544113 -0.782289 0 0 7979.49 
-0.956949 -1.55513 105510 4.58502 1.27642 8907.61 353.897 2212 21 1 0 1 0 0 0 0 0 0 37.0722 105512 0 0 0 3.14994 -0.030038 0 0 8018.62 
1.32376 -0.552206 105510 -2.48381 1.79177 8903.13 353.898 2212 22 1 0 1 0 0 0 0 0 0 37.0908 105512 0 0 0 -2.65438 -0.590002 0 0 8014.16 
-0.530394 -0.970487 105510 -3.74899 3.24583 8858.13 353.908 2212 23 1 0 1 0 0 0 0 0 0 37.2782 105509 0 0 0 -1.11183 0.222497 0 0 7969.41 
-0.795117 1.30536 105510 2.85591 1.81256 8873.61 353.904 2212 24 1 0 1 0 0 0 0 0 0 37.2135 105510 0 0 0 2.12258 -1.1423 0 0 7984.8 
1.03556 0.123975 105510 -4.93432 3.25658 8932.6 353.892 2212 25 1 0 1 0 0 0 0 0 0 36.9691 105514 0 0 0 -2.75022 -1.69719 0 0 8043.47 
1.17203 -1.22087 105510 -3.6285 2.40792 8925 353.893 2212 26 1 0 1 0 0 0 0 0 0 37.0003 105513 0 0 0 -2.77192 -0.717401 0 0 8035.92 
-0.214275 -0.906403 105510 0.75655 1.77695 8887 353.901 2212 27 1 0 1 0 0 0 0 0 0 37.1577 105511 0 0 0 0.521225 -0.123721 0 0 7998.12 
-0.615234 2.32701 105510 -0.33041 2.03124 8931 353.891 2212 28 1 0 1 0 0 0 0 0 0 36.9756 105513 0 0 0 0.913127 -2.63448 0 0 8041.88 
1.92415 0.0815321 105510 -2.93876 1.6062 8896.87 353.899 2212 29 1 0 1 0 0 0 0 0 0 37.1167 105511 0 0 0 -3.62692 -0.747756 0 0 8007.94 
-0.831991 -4.06569 105510 0.736142 3.05881 8909.71 353.897 2212 30 1 0 1 0 0 0 0 0 0 37.0635 105512 0 0 0 1.42607 0.951623 0 0 8020.71 
-1.21214 1.10272 105510 -1.43691 3.49433 8915.77 353.895 2212 31 1 0 1 0 0 0 0 0 0 37.0384 105512 0 0 0 1.16862 -1.92989 0 0 8026.73 
1.64343 -2.25394 105510 -0.99413 0.672603 8846.71 353.911 2212 32 1 0 1 0 0 0 0 0 0 37.3261 105508 0 0 0 -2.67106 1.30847 0 0 7958.05 
-0.407411 -5.52674 105510 1.08002 2.64097 8895.36 353.9 2212 33 1 0 1 0 0 0 0 0 0 37.123 105511 0 0 0 0.90154 2.09465 0 0 8006.44 
-0.0317167 -4.19293 105510 0.177004 2.9365 8860.76 353.908 2212 34 1 0 1 0 0 0 0 0 0 37.2672 105509 0 0 0 -0.043826 1.8865 0 0 7972.03 
-0.208032 -1.43929 105510 -0.796428 2.13902 8869.67 353.906 2212 35 1 0 1 0 0 0 0 0 0 37.2299 105510 0 0 0 -0.172659 0.439301 0 0 7980.88 
-1.29054 -2.43383 105510 3.47246 1.49693 8880.16 353.903 2212 36 1 0 1 0 0 0 0 0 0 37.1862 105510 0 0 0 2.92244 0.868357 0 0 7991.32 
-0.365661 -1.79909 105510 3.03303 0.552475 8918.81 353.894 2212 37 1 0 1 0 0 0 0 0 0 37.0259 105513 0 0 0 1.77554 0.098013 0 0 8029.76 
-0.451035 -3.37844 105510 -3.37485 0.949493 8899.52 353.899 2212 38 1 0 1 0 0 0 0 0 0 37.1057 105511 0 0 0 -0.669661 1.15274 0 0 8010.57 
1.09933 -2.04657 105510 0.420277 3.57293 8907.23 353.897 2212 39 1 0 1 0 0 0 0 0 0 37.0738 105512 0 0 0 -1.31393 -0.188452 0 0 8018.24 
0.329522 -0.506099 105510 4.29451 1.60236 8903.01 353.898 2212 40 1 0 1 0 0 0 0 0 0 37.0912 105512 0 0 0 1.199 -0.571728 0 0 8014.05 
-0.878051 3.05531 105510 4.32009 1.0102 8918.27 353.894 2212 41 1 0 1 0 0 0 0 0 0 37.028 105512 0 0 0 2.84831 -2.58743 0 0 8029.22 
-0.0033968 -0.971348 105510 -2.41937 1.32262 8877.97 353.904 2212 42 1 0 1 0 0 0 0 0 0 37.1953 105510 0 0 0 -1.10062 0.115396 0 0 7989.14 
-0.416921 0.489239 105510 -2.08321 1.85694 8889.52 353.901 2212 43 1 0 1 0 0 0 0 0 0 37.1472 105511 0 0 0 -0.259621 -0.908692 0 0 8000.63 
0.27386 -0.00234481 105510 -0.776955 3.69509 8911.48 353.896 2212 44 1 0 1 0 0 0 0 0 0 37.0562 105512 0 0 0 -0.559687 -1.33047 0 0 8022.46 
1.27317 2.42059 105510 2.57609 3.55301 8954.8 353.886 2212 45 1 0 1 0 0 0 0 0 0 36.8779 105515 0 0 0 -0.475055 -3.35941 0 0 8065.55 
-0.751041 0.354963 105510 -1.65614 2.78202 8878.61 353.903 2212 46 1 0 1 0 0 0 0 0 0 37.1926 105510 0 0 0 0.206093 -0.812193 0 0 7989.78 
-1.01583 -7.23691 105510 -0.340547 3.85272 8859.44 353.909 2212 47 1 0 1 0 0 0 0 0 0 37.2728 105509 0 0 0 1.00445 3.41747 0 0 7970.71 
0.925419 1.20067 105510 -0.178414 3.43486 8817.74 353.918 2212 48 1 0 1 0 0 0 0 0 0 37.4481 105506 0 0 0 -1.42325 -0.142814 0 0 7929.25 
-0.764097 2.14015 105510 0.36666 1.07102 8838.17 353.913 2212 49 1 0 1 0 0 0 0 0 0 37.3619 105507 0 0 0 0.89123 -0.960036 0 0 7949.56 
-0.0556143 1.96246 105510 0.00852331 3.05904 8955.57 353.886 2212 50 1 0 1 0 0 0 0 0 0 36.8747 105515 0 0 0 0.502408 -3.06672 0 0 8066.32 
0.638009 -4.16728 105510 -3.10797 4.39747 8906.35 353.898 2212 51 1 0 1 0 0 0 0 0 0 37.0775 105512 0 0 0 -1.8924 0.861667 0 0 8017.36 
2.25484 1.86022 105510 0.521411 0.694354 8864.96 353.906 2212 52 1 0 1 0 0 0 0 0 0 37.2496 105509 0 0 0 -2.80657 -1.16298 0 0 7976.2 
0.25214 1.47029 105510 -1.23518 1.28288 8871.01 353.905 2212 53 1 0 1 0 0 0 0 0 0 37.2243 105509 0 0 0 -0.958683 -1.09019 0 0 7982.22 
2.12643 1.74054 105510 -4.19805 1.05615 8882.06 353.902 2212 54 1 0 1 0 0 0 0 0 0 37.1783 105510 0 0 0 -4.47337 -1.3835 0 0 7993.2 
