#BLTrackFile2 VD_DSCollimator
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
7.66329 -0.103027 159760 3.5008 -2.49486 8912.14 535.854 2212 1 1 0 1 0 0 0 0 0 0 56.1048 159762 0 0 0 1.75026 0.73893 0 0 8023.12 
-26.2057 -1.69758 159760 -11.3236 -5.91551 8881.58 535.868 2212 2 1 0 1 0 0 0 0 0 0 56.297 159760 0 0 0 -2.18434 -0.461093 0 0 7992.75 
21.6159 -3.75379 159760 9.52419 -11.4119 8850.69 535.882 2212 3 1 0 1 0 0 0 0 0 0 56.4928 159758 0 0 0 2.6851 -1.04083 0 0 7962.03 
12.2586 -2.8833 159760 5.40782 -9.09477 8869.85 535.873 2212 4 1 0 1 0 0 0 0 0 0 56.3713 159759 0 0 0 1.49016 -0.910935 0 0 7981.07 
33.8319 -3.15238 159760 14.7216 -11.2813 8866.21 535.875 2212 5 1 0 1 0 0 0 0 0 0 56.3943 159759 0 0 0 3.32011 -0.042043 0 0 7977.47 
-4.1708 -2.99717 159760 -1.78421 -9.46798 8860.19 535.878 2212 6 1 0 1 0 0 0 0 0 0 56.4325 159759 0 0 0 -0.423924 -0.856072 0 0 7971.46 
8.97195 -8.58915 159760 3.88192 -29.6568 8899.25 535.86 2212 7 1 0 1 0 0 0 0 0 0 56.1854 159761 0 0 0 0.68916 -2.01994 0 0 8010.36 
21.2293 2.06372 159760 9.32347 4.77206 8947.93 535.839 2212 8 1 0 1 0 0 0 0 0 0 55.8811 159764 0 0 0 2.24655 0.810441 0 0 8058.72 
6.1843 -2.73489 159760 2.71049 -8.68167 8920.09 535.85 2212 9 1 0 1 0 0 0 0 0 0 56.0548 159762 0 0 0 0.760796 -1.77945 0 0 8031.04 
5.42111 -0.819944 159760 2.44794 -4.30975 8874.06 535.872 2212 10 1 0 1 0 0 0 0 0 0 56.3447 159760 0 0 0 0.9334 0.863595 0 0 7985.25 
-28.6597 -0.22685 159760 -12.4801 -2.62033 8861.62 535.878 2212 11 1 0 1 0 0 0 0 0 0 56.4235 159759 0 0 0 -3.07635 1.4294 0 0 7972.89 
-17.1223 -4.37855 159760 -7.46976 -14.1559 8889.47 535.864 2212 12 1 0 1 0 0 0 0 0 0 56.2472 159761 0 0 0 -1.78445 -1.51091 0 0 8000.59 
-20.6091 1.20537 159760 -9.15083 2.42479 8892.69 535.863 2212 13 1 0 1 0 0 0 0 0 0 56.227 159761 0 0 0 -3.02079 0.959189 0 0 8003.78 
6.89449 -0.128368 159760 3.21938 -0.194325 8884.24 535.866 2212 14 1 0 1 0 0 0 0 0 0 56.2803 159760 0 0 0 1.83979 -0.523772 0 0 7995.38 
-1.36644 -0.0585881 159760 -0.685064 -0.444414 8868.47 535.874 2212 15 1 0 1 0 0 0 0 0 0 56.3801 159759 0 0 0 -0.749481 0.043346 0 0 7979.69 
0.00682906 -2.80804 159760 0.191169 -10.0308 8854.8 535.88 2212 16 1 0 1 0 0 0 0 0 0 56.4668 159759 0 0 0 0.800953 0.323179 0 0 7966.11 
-14.3675 -0.574413 159760 -6.22591 -2.36432 8870.34 535.873 2212 17 1 0 1 0 0 0 0 0 0 56.3682 159759 0 0 0 -1.41596 0.109707 0 0 7981.55 
-18.9263 -4.92755 159760 -8.36255 -16.6344 8948.48 535.838 2212 18 1 0 1 0 0 0 0 0 0 55.8776 159764 0 0 0 -1.76531 -2.57436 0 0 8059.28 
-29.3724 -1.53047 159760 -12.7756 -5.12494 8859.41 535.878 2212 19 1 0 1 0 0 0 0 0 0 56.4375 159759 0 0 0 -3.09079 -0.144711 0 0 7970.69 
-11.8944 -3.35407 159760 -5.04015 -10.8432 8868.25 535.874 2212 20 1 0 1 0 0 0 0 0 0 56.3814 159759 0 0 0 -0.544113 -0.782289 0 0 7979.49 
31.758 -0.632683 159760 13.8572 -3.23481 8907.6 535.856 2212 21 1 0 1 0 0 0 0 0 0 56.1332 159762 0 0 0 3.14994 -0.030038 0 0 8018.62 
-21.1415 -2.37152 159760 -9.34426 -8.60014 8903.12 535.858 2212 22 1 0 1 0 0 0 0 0 0 56.1614 159762 0 0 0 -2.65438 -0.590002 0 0 8014.16 
-19.5916 -4.50948 159760 -8.33085 -15.7912 8858.11 535.879 2212 23 1 0 1 0 0 0 0 0 0 56.4457 159759 0 0 0 -1.11183 0.222497 0 0 7969.41 
20.8394 -4.06317 159760 9.09443 -13.289 8873.59 535.871 2212 24 1 0 1 0 0 0 0 0 0 56.3475 159760 0 0 0 2.12258 -1.1423 0 0 7984.8 
-34.1942 -5.17893 159760 -14.9627 -18.3318 8932.57 535.846 2212 25 1 0 1 0 0 0 0 0 0 55.9768 159764 0 0 0 -2.75022 -1.69719 0 0 8043.47 
-27.1342 -2.69989 159760 -11.9251 -10.3248 8924.99 535.849 2212 26 1 0 1 0 0 0 0 0 0 56.0242 159763 0 0 0 -2.77192 -0.717401 0 0 8035.92 
5.54196 -2.06364 159760 2.42406 -7.65957 8886.99 535.865 2212 27 1 0 1 0 0 0 0 0 0 56.2629 159760 0 0 0 0.521225 -0.123721 0 0 7998.12 
1.00699 -5.09578 159760 0.539084 -16.9169 8930.99 535.846 2212 28 1 0 1 0 0 0 0 0 0 55.9867 159763 0 0 0 0.913127 -2.63448 0 0 8041.88 
-26.7202 -2.59475 159760 -11.835 -9.10946 8896.86 535.861 2212 29 1 0 1 0 0 0 0 0 0 56.2007 159761 0 0 0 -3.62692 -0.747756 0 0 8007.94 
8.39632 -1.24865 159760 3.76479 -6.92497 8909.71 535.856 2212 30 1 0 1 0 0 0 0 0 0 56.1201 159762 0 0 0 1.42607 0.951623 0 0 8020.71 
-2.81437 -6.48043 159760 -1.01318 -22.0511 8915.74 535.853 2212 31 1 0 1 0 0 0 0 0 0 56.082 159762 0 0 0 1.16862 -1.92989 0 0 8026.73 
-13.9927 0.948879 159760 -6.28699 1.82543 8846.71 535.884 2212 32 1 0 1 0 0 0 0 0 0 56.5183 159758 0 0 0 -2.67106 1.30847 0 0 7958.05 
8.36555 0.708956 159760 3.67188 -1.0147 8895.36 535.862 2212 33 1 0 1 0 0 0 0 0 0 56.2103 159761 0 0 0 0.90154 2.09465 0 0 8006.44 
1.20303 -0.996741 159760 0.522013 -6.0149 8860.76 535.878 2212 34 1 0 1 0 0 0 0 0 0 56.429 159759 0 0 0 -0.043826 1.8865 0 0 7972.03 
-3.72352 -2.15446 159760 -1.56553 -8.35317 8869.66 535.874 2212 35 1 0 1 0 0 0 0 0 0 56.3725 159759 0 0 0 -0.172659 0.439301 0 0 7980.88 
26.9483 -0.246192 159760 11.8253 -2.32406 8880.15 535.869 2212 36 1 0 1 0 0 0 0 0 0 56.3061 159760 0 0 0 2.92244 0.868357 0 0 7991.32 
19.7433 0.719064 159760 8.59258 1.38401 8918.81 535.851 2212 37 1 0 1 0 0 0 0 0 0 56.0629 159762 0 0 0 1.77554 0.098013 0 0 8029.76 
-17.8003 1.50119 159760 -7.60283 3.09301 8899.51 535.86 2212 38 1 0 1 0 0 0 0 0 0 56.1841 159761 0 0 0 -0.669661 1.15274 0 0 8010.57 
-2.85962 -3.86931 159760 -1.41988 -14.7925 8907.22 535.857 2212 39 1 0 1 0 0 0 0 0 0 56.1356 159762 0 0 0 -1.31393 -0.188452 0 0 8018.24 
23.8489 -2.10969 159760 10.2332 -7.65916 8903 535.858 2212 40 1 0 1 0 0 0 0 0 0 56.1621 159761 0 0 0 1.199 -0.571728 0 0 8014.05 
29.8351 -4.28983 159760 13.0358 -13.1557 8918.26 535.851 2212 41 1 0 1 0 0 0 0 0 0 56.0663 159762 0 0 0 2.84831 -2.58743 0 0 8029.22 
-14.3735 -1.24844 159760 -6.18215 -4.95613 8877.97 535.87 2212 42 1 0 1 0 0 0 0 0 0 56.3199 159760 0 0 0 -1.10062 0.115396 0 0 7989.14 
-10.3755 -3.43999 159760 -4.40167 -11.5537 8889.51 535.864 2212 43 1 0 1 0 0 0 0 0 0 56.247 159761 0 0 0 -0.259621 -0.908692 0 0 8000.63 
-5.92922 -5.85846 159760 -2.60597 -20.5143 8911.45 535.855 2212 44 1 0 1 0 0 0 0 0 0 56.1089 159762 0 0 0 -0.559687 -1.33047 0 0 8022.46 
