#BLTrackFile2 VD_Diagnostic_055
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.07827 -3.05556 107000 0.362761 1.95579 8912.14 358.893 2212 1 1 0 1 0 0 0 0 0 0 37.5767 107002 0 0 0 1.75026 0.73893 0 0 8023.12 
-0.425753 0.1563 107000 -4.20242 1.07282 8881.59 358.9 2212 2 1 0 1 0 0 0 0 0 0 37.7052 107000 0 0 0 -2.18434 -0.461093 0 0 7992.75 
-1.00161 2.167 107000 2.4659 1.1648 8850.7 358.907 2212 3 1 0 1 0 0 0 0 0 0 37.8361 106998 0 0 0 2.6851 -1.04083 0 0 7962.03 
-0.555999 1.35149 107000 1.41262 1.10906 8869.86 358.903 2212 4 1 0 1 0 0 0 0 0 0 37.7548 106999 0 0 0 1.49016 -0.910935 0 0 7981.07 
-0.289694 -0.247749 107000 4.80926 2.30577 8866.23 358.904 2212 5 1 0 1 0 0 0 0 0 0 37.7702 106999 0 0 0 3.32011 -0.042043 0 0 7977.47 
-0.166314 1.54276 107000 -0.736837 1.09552 8860.19 358.905 2212 6 1 0 1 0 0 0 0 0 0 37.7958 106999 0 0 0 -0.423924 -0.856072 0 0 7971.46 
0.142987 1.94139 107000 1.43698 4.84941 8899.3 358.896 2212 7 1 0 1 0 0 0 0 0 0 37.6306 107001 0 0 0 0.68916 -2.01994 0 0 8010.36 
-0.263643 -3.8735 107000 2.96418 0.938338 8947.94 358.885 2212 8 1 0 1 0 0 0 0 0 0 37.4272 107004 0 0 0 2.24655 0.810441 0 0 8058.72 
-0.0862363 1.65085 107000 0.856948 0.896603 8920.1 358.891 2212 9 1 0 1 0 0 0 0 0 0 37.5433 107002 0 0 0 0.760796 -1.77945 0 0 8031.04 
-0.636414 -2.03798 107000 0.344657 1.81489 8874.06 358.902 2212 10 1 0 1 0 0 0 0 0 0 37.7371 107000 0 0 0 0.9334 0.863595 0 0 7985.25 
0.236597 -2.78665 107000 -4.07163 1.8422 8861.63 358.905 2212 11 1 0 1 0 0 0 0 0 0 37.7898 106999 0 0 0 -3.07635 1.4294 0 0 7972.89 
0.131252 1.83061 107000 -2.44611 1.86089 8889.49 358.898 2212 12 1 0 1 0 0 0 0 0 0 37.6719 107001 0 0 0 -1.78445 -1.51091 0 0 8000.59 
1.2627 -2.71313 107000 -2.14878 0.835419 8892.69 358.898 2212 13 1 0 1 0 0 0 0 0 0 37.6584 107001 0 0 0 -3.02079 0.959189 0 0 8003.78 
-1.48442 0.37563 107000 -0.0512232 -0.142658 8884.24 358.899 2212 14 1 0 1 0 0 0 0 0 0 37.694 107000 0 0 0 1.83979 -0.523772 0 0 7995.38 
0.61724 -0.364278 107000 0.245126 0.260254 8868.47 358.903 2212 15 1 0 1 0 0 0 0 0 0 37.7607 106999 0 0 0 -0.749481 0.043346 0 0 7979.69 
-1.27197 -0.598994 107000 -0.923354 2.21901 8854.81 358.907 2212 16 1 0 1 0 0 0 0 0 0 37.8187 106999 0 0 0 0.800953 0.323179 0 0 7966.11 
-0.118381 -0.571094 107000 -2.21267 0.729891 8870.34 358.903 2212 17 1 0 1 0 0 0 0 0 0 37.7528 106999 0 0 0 -1.41596 0.109707 0 0 7981.55 
0.588363 2.04684 107000 -2.39773 2.26438 8948.5 358.885 2212 18 1 0 1 0 0 0 0 0 0 37.4248 107004 0 0 0 -1.76531 -2.57436 0 0 8059.28 
0.156922 0.181194 107000 -4.23122 0.90031 8859.42 358.906 2212 19 1 0 1 0 0 0 0 0 0 37.7991 106999 0 0 0 -3.09079 -0.144711 0 0 7970.69 
-0.853343 1.1612 107000 -2.38208 1.53615 8868.26 358.903 2212 20 1 0 1 0 0 0 0 0 0 37.7616 106999 0 0 0 -0.544113 -0.782289 0 0 7979.49 
-0.190035 -1.34163 107000 4.58502 1.27642 8907.61 358.894 2212 21 1 0 1 0 0 0 0 0 0 37.5957 107002 0 0 0 3.14994 -0.030038 0 0 8018.62 
0.908095 -0.252355 107000 -2.48381 1.79177 8903.13 358.895 2212 22 1 0 1 0 0 0 0 0 0 37.6145 107002 0 0 0 -2.65438 -0.590002 0 0 8014.16 
-1.16097 -0.424541 107000 -3.74899 3.24583 8858.13 358.906 2212 23 1 0 1 0 0 0 0 0 0 37.8046 106999 0 0 0 -1.11183 0.222497 0 0 7969.41 
-0.315594 1.6097 107000 2.85591 1.81256 8873.61 358.902 2212 24 1 0 1 0 0 0 0 0 0 37.739 107000 0 0 0 2.12258 -1.1423 0 0 7984.8 
0.212533 0.667163 107000 -4.93432 3.25658 8932.6 358.889 2212 25 1 0 1 0 0 0 0 0 0 37.4911 107003 0 0 0 -2.75022 -1.69719 0 0 8043.47 
0.566296 -0.818893 107000 -3.6285 2.40792 8925 358.89 2212 26 1 0 1 0 0 0 0 0 0 37.5228 107003 0 0 0 -2.77192 -0.717401 0 0 8035.92 
-0.0874377 -0.608493 107000 0.75655 1.77695 8887 358.899 2212 27 1 0 1 0 0 0 0 0 0 37.6824 107000 0 0 0 0.521225 -0.123721 0 0 7998.12 
-0.670355 2.66588 107000 -0.33041 2.03124 8931 358.889 2212 28 1 0 1 0 0 0 0 0 0 37.4977 107003 0 0 0 0.913127 -2.63448 0 0 8041.88 
1.43201 0.350517 107000 -2.93876 1.6062 8896.87 358.897 2212 29 1 0 1 0 0 0 0 0 0 37.6408 107001 0 0 0 -3.62692 -0.747756 0 0 8007.94 
-0.70889 -3.55417 107000 0.736142 3.05881 8909.71 358.894 2212 30 1 0 1 0 0 0 0 0 0 37.5869 107002 0 0 0 1.42607 0.951623 0 0 8020.71 
-1.45226 1.68666 107000 -1.43691 3.49433 8915.77 358.892 2212 31 1 0 1 0 0 0 0 0 0 37.5614 107002 0 0 0 1.16862 -1.92989 0 0 8026.73 
1.476 -2.14066 107000 -0.99413 0.672603 8846.71 358.909 2212 32 1 0 1 0 0 0 0 0 0 37.8532 106998 0 0 0 -2.67106 1.30847 0 0 7958.05 
-0.226513 -5.08439 107000 1.08002 2.64097 8895.36 358.897 2212 33 1 0 1 0 0 0 0 0 0 37.6472 107001 0 0 0 0.90154 2.09465 0 0 8006.44 
-0.00195358 -3.69916 107000 0.177004 2.9365 8860.76 358.906 2212 34 1 0 1 0 0 0 0 0 0 37.7935 106999 0 0 0 -0.043826 1.8865 0 0 7972.03 
-0.341816 -1.07997 107000 -0.796428 2.13902 8869.67 358.903 2212 35 1 0 1 0 0 0 0 0 0 37.7557 106999 0 0 0 -0.172659 0.439301 0 0 7980.88 
-0.707927 -2.18267 107000 3.47246 1.49693 8880.16 358.901 2212 36 1 0 1 0 0 0 0 0 0 37.7113 107000 0 0 0 2.92244 0.868357 0 0 7991.32 
0.141021 -1.7068 107000 3.03303 0.552475 8918.81 358.891 2212 37 1 0 1 0 0 0 0 0 0 37.5487 107002 0 0 0 1.77554 0.098013 0 0 8029.76 
-1.01604 -3.21948 107000 -3.37485 0.949493 8899.52 358.896 2212 38 1 0 1 0 0 0 0 0 0 37.6297 107001 0 0 0 -0.669661 1.15274 0 0 8010.57 
1.16963 -1.44892 107000 0.420277 3.57293 8907.23 358.894 2212 39 1 0 1 0 0 0 0 0 0 37.5973 107002 0 0 0 -1.31393 -0.188452 0 0 8018.24 
1.04821 -0.237942 107000 4.29451 1.60236 8903.01 358.895 2212 40 1 0 1 0 0 0 0 0 0 37.615 107001 0 0 0 1.199 -0.571728 0 0 8014.05 
-0.156315 3.22408 107000 4.32009 1.0102 8918.27 358.891 2212 41 1 0 1 0 0 0 0 0 0 37.5509 107002 0 0 0 2.84831 -2.58743 0 0 8029.22 
-0.409424 -0.749382 107000 -2.41937 1.32262 8877.97 358.901 2212 42 1 0 1 0 0 0 0 0 0 37.7205 107000 0 0 0 -1.10062 0.115396 0 0 7989.14 
-0.766079 0.800472 107000 -2.08321 1.85694 8889.52 358.898 2212 43 1 0 1 0 0 0 0 0 0 37.6718 107001 0 0 0 -0.259621 -0.908692 0 0 8000.63 
0.143959 0.615446 107000 -0.776955 3.69509 8911.48 358.893 2212 44 1 0 1 0 0 0 0 0 0 37.5795 107002 0 0 0 -0.559687 -1.33047 0 0 8022.46 
1.70178 3.01175 107000 2.57609 3.55301 8954.8 358.884 2212 45 1 0 1 0 0 0 0 0 0 37.3986 107005 0 0 0 -0.475055 -3.35941 0 0 8065.55 
-1.02896 0.821817 107000 -1.65614 2.78202 8878.61 358.901 2212 46 1 0 1 0 0 0 0 0 0 37.7178 107000 0 0 0 0.206093 -0.812193 0 0 7989.78 
-1.0731 -6.58899 107000 -0.340547 3.85272 8859.44 358.906 2212 47 1 0 1 0 0 0 0 0 0 37.7991 106999 0 0 0 1.00445 3.41747 0 0 7970.71 
0.895272 1.78106 107000 -0.178414 3.43486 8817.74 358.916 2212 48 1 0 1 0 0 0 0 0 0 37.9769 106996 0 0 0 -1.42325 -0.142814 0 0 7929.25 
-0.702286 2.3207 107000 0.36666 1.07102 8838.17 358.91 2212 49 1 0 1 0 0 0 0 0 0 37.8895 106997 0 0 0 0.89123 -0.960036 0 0 7949.56 
-0.0541963 2.47139 107000 0.00852331 3.05904 8955.57 358.883 2212 50 1 0 1 0 0 0 0 0 0 37.3954 107005 0 0 0 0.502408 -3.06672 0 0 8066.32 
0.118081 -3.43164 107000 -3.10797 4.39747 8906.35 358.895 2212 51 1 0 1 0 0 0 0 0 0 37.601 107002 0 0 0 -1.8924 0.861667 0 0 8017.36 
2.34248 1.97692 107000 0.521411 0.694354 8864.96 358.904 2212 52 1 0 1 0 0 0 0 0 0 37.7756 106999 0 0 0 -2.80657 -1.16298 0 0 7976.2 
