#BLTrackFile2 VD_Diagnostic_092
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-5.67972 2.04979 209500 -8.78495 -2.26972 8868.46 702.715 2212 15 1 0 1 0 0 0 0 0 0 73.9337 209499 0 0 0 -0.749481 0.043346 0 0 7979.69 
0.127957 49.472 209500 0.24072 -54.8649 8854.64 702.727 2212 16 1 0 1 0 0 0 0 0 0 74.0477 209499 0 0 0 0.800953 0.323179 0 0 7966.11 
5.02603 28.3313 209500 7.71044 -31.2352 8860.71 702.722 2212 34 1 0 1 0 0 0 0 0 0 73.998 209499 0 0 0 -0.043826 1.8865 0 0 7972.03 
-15.4301 40.4888 209500 -23.6433 -44.3784 8869.52 702.716 2212 35 1 0 1 0 0 0 0 0 0 73.9239 209500 0 0 0 -0.172659 0.439301 0 0 7980.88 
12.4754 15.6217 209500 19.1486 -17.0537 8859.4 702.722 2212 47 1 0 1 0 0 0 0 0 0 74.009 209499 0 0 0 1.00445 3.41747 0 0 7970.71 
15.882 51.0822 209500 24.14 -56.7172 8838.88 702.738 2212 55 1 0 1 0 0 0 0 0 0 74.179 209499 0 0 0 1.26195 1.51513 0 0 7950.49 
5.88836 65.1119 209500 9.08096 -70.7626 8890.84 702.704 2212 59 1 0 1 0 0 0 0 0 0 73.7462 209502 0 0 0 0.230683 -0.170985 0 0 8002.22 
-5.41104 46.058 209500 -8.39241 -49.2511 8916.76 702.686 2212 62 1 0 1 0 0 0 0 0 0 73.5335 209503 0 0 0 -0.382349 0.013883 0 0 8027.85 
-14.486 40.394 209500 -22.3812 -43.994 8891.8 702.702 2212 64 1 0 1 0 0 0 0 0 0 73.7392 209502 0 0 0 -0.042219 -0.003312 0 0 8003.04 
-12.7387 22.3487 209500 -19.6422 -24.581 8872.38 702.713 2212 66 1 0 1 0 0 0 0 0 0 73.9008 209500 0 0 0 -0.066181 -0.245957 0 0 7983.64 
4.68878 41.4618 209500 7.2121 -45.0931 8887.27 702.705 2212 70 1 0 1 0 0 0 0 0 0 73.777 209501 0 0 0 -0.474086 1.07407 0 0 7998.5 
5.22388 58.7932 209500 7.98873 -64.4565 8876.87 702.713 2212 72 1 0 1 0 0 0 0 0 0 73.8623 209501 0 0 0 -1.21957 -0.598587 0 0 7988.28 
1.30618 4.34106 209500 2.02414 -4.52998 8885.44 702.704 2212 75 1 0 1 0 0 0 0 0 0 73.7928 209500 0 0 0 0.274927 0.424689 0 0 7996.57 
-13.6819 35.3982 209500 -20.9266 -38.7376 8873.79 702.713 2212 96 1 0 1 0 0 0 0 0 0 73.8887 209500 0 0 0 1.11108 0.422164 0 0 7985.09 
-2.64583 -47.7574 209500 -4.11309 52.2076 8896.28 702.696 2212 101 1 0 1 0 0 0 0 0 0 73.7018 209501 0 0 0 -1.29223 2.60218 0 0 8007.51 
-13.1707 56.278 209500 -20.377 -61.5065 8894.01 702.701 2212 102 1 0 1 0 0 0 0 0 0 73.7203 209502 0 0 0 0.835992 -2.42201 0 0 8005.33 
11.5816 53.4024 209500 17.725 -58.7315 8870.68 702.717 2212 103 1 0 1 0 0 0 0 0 0 73.9139 209501 0 0 0 -1.78919 0.741419 0 0 7982.1 
-6.77705 66.4387 209500 -10.5213 -71.7833 8904.22 702.696 2212 104 1 0 1 0 0 0 0 0 0 73.6356 209503 0 0 0 -1.11372 -0.399291 0 0 8015.54 
8.25401 66.3936 209500 12.7757 -72.4821 8892.78 702.703 2212 118 1 0 1 0 0 0 0 0 0 73.73 209502 0 0 0 0.511387 -1.70945 0 0 8004.17 
11.1035 50.9271 209500 17.3352 -54.5411 8924.4 702.681 2212 133 1 0 1 0 0 0 0 0 0 73.4703 209504 0 0 0 1.01869 -1.2047 0 0 8035.5 
-11.9935 63.7883 209500 -18.4338 -69.6999 8880.27 702.711 2212 134 1 0 1 0 0 0 0 0 0 73.8337 209501 0 0 0 -0.282764 -0.606878 0 0 7991.72 
-8.64239 15.4451 209500 -13.4189 -17.0759 8871.65 702.713 2212 141 1 0 1 0 0 0 0 0 0 73.907 209500 0 0 0 -1.5157 -0.504551 0 0 7982.89 
-1.75027 40.0906 209500 -2.63632 -43.8263 8866.49 702.719 2212 146 1 0 1 0 0 0 0 0 0 73.9495 209500 0 0 0 0.851491 1.17077 0 0 7977.83 
-14.5133 36.4585 209500 -22.5909 -38.7472 8924.09 702.68 2212 149 1 0 1 0 0 0 0 0 0 73.4734 209504 0 0 0 -0.692242 0.38379 0 0 8035.12 
-0.328288 16.5144 209500 -0.498021 -17.9196 8869.76 702.715 2212 150 1 0 1 0 0 0 0 0 0 73.9229 209500 0 0 0 -0.007206 1.69131 0 0 7980.99 
12.7131 -51.185 209500 19.4294 56.4894 8856.73 702.723 2212 171 1 0 1 0 0 0 0 0 0 74.0297 209499 0 0 0 1.44467 4.45304 0 0 7968.22 
-13.3301 30.4075 209500 -20.673 -32.5262 8906.98 702.691 2212 180 1 0 1 0 0 0 0 0 0 73.6144 209502 0 0 0 -0.806999 0.582615 0 0 8018.07 
-15.512 15.763 209500 -23.6219 -18.0785 8816.24 702.752 2212 181 1 0 1 0 0 0 0 0 0 74.3702 209497 0 0 0 -0.968958 2.59661 0 0 7927.81 
-9.54573 39.0456 209500 -14.7238 -42.7753 8874.92 702.713 2212 186 1 0 1 0 0 0 0 0 0 73.8794 209501 0 0 0 -0.939205 1.4031 0 0 7986.22 
-3.30454 44.6911 209500 -5.18046 -48.2358 8904.46 702.693 2212 197 1 0 1 0 0 0 0 0 0 73.6348 209502 0 0 0 -1.35776 -0.858933 0 0 8015.61 
-0.763471 29.1666 209500 -1.17208 -32.0381 8862.77 702.72 2212 198 1 0 1 0 0 0 0 0 0 73.9807 209499 0 0 0 -0.223372 1.08984 0 0 7974.09 
-6.45657 29.0046 209500 -10.095 -30.6867 8927.47 702.678 2212 199 1 0 1 0 0 0 0 0 0 73.446 209504 0 0 0 -0.44748 0.029632 0 0 8038.43 
-4.72318 -15.5195 209500 -7.31387 17.44 8922.46 702.679 2212 211 1 0 1 0 0 0 0 0 0 73.4873 209503 0 0 0 0.895206 1.10686 0 0 8033.4 
