Standard deviations for all histograms generated 
Detector	xstd	ystd
MW903	2.070455052384957	1.6329976715323726
MW906	2.425562494514372	1.9305292291046947
MW908	1.4007010980898522	2.5202094061515052
MW910	1.9910906431923339	1.7328418630735112
MW910	1.9910906431923339	1.7328418630735112
MW914	4.697310439104064	2.417184238895247
MW919	2.4837523231504495	2.2160994887646526
MW922	2.0691966652298195	2.5701301810596084
MW924	0.9893103906450768	2.2352215105611646
MW926	2.241888582903905	2.123868184754658
MW927	2.793022511929461	2.9742262321465547
MW930	5.715182542591886	2.5189643397019967
MW932	2.241614785667234	2.4488683841633176
Standard deviations for all histograms generated 
Detector	xstd	ystd
MW903	2.070455052384957	1.6329976715323726
MW906	2.425562494514372	1.9305292291046947
MW908	1.4007010980898522	2.5202094061515052
MW910	1.9910906431923339	1.7328418630735112
MW910	1.9910906431923339	1.7328418630735112
MW914	4.697310439104064	2.417184238895247
MW919	2.4837523231504495	2.2160994887646526
MW922	2.0691966652298195	2.5701301810596084
MW924	0.9893103906450768	2.2352215105611646
MW926	2.233004325000837	2.2412537182643004
MW927	3.6735867350106317	2.4696324896518878
MW930	8.106201883177388	2.9473631645728706
MW932	2.2283910198602506	2.214460397014055
