Standard deviations for all histograms generated 
Detector	xstd	ystd
MW903	2.0810816676958126	1.639743036757675
MW906	2.440313034267629	1.9416704608858162
MW908	1.3976756468062814	2.5170435346669224
Standard deviations for all histograms generated 
Detector	xstd	ystd
MW903	2.0810816676958126	1.639743036757675
MW906	2.440313034267629	1.9416704608858162
MW908	1.3976756468062814	2.5170435346669224
MW910	1.9852187965983825	1.738965567816793
MW910	1.9852187965983825	1.738965567816793
MW914	4.678582356255875	2.419351696084188
MW919	2.490104828194428	2.2310472902628895
MW922	2.0732649781033423	2.585004789043005
MW924	0.9869460725283834	2.2263639260760217
MW926	2.244984098050838	2.111401253977399
MW927	2.7993146392868873	2.9590757559406886
MW930	5.730188315684833	2.511895669345315
MW932	2.240848002471871	2.434334321145682
Standard deviations for all histograms generated 
Detector	xstd	ystd
MW903	2.0810816676958126	1.639743036757675
MW906	2.440313034267629	1.9416704608858162
MW908	1.3976756468062814	2.5170435346669224
MW910	1.9852187965983825	1.738965567816793
MW910	1.9852187965983825	1.738965567816793
MW914	4.678582356255875	2.419351696084188
MW919	2.490104828194428	2.2310472902628895
MW922	2.0732649781033423	2.585004789043005
MW924	0.9869460725283834	2.2263639260760217
MW926	2.244984098050838	2.111401253977399
MW927	2.7993146392868873	2.9590757559406886
MW930	5.730188315684833	2.511895669345315
MW932	2.240848002471871	2.434334321145682
Standard deviations for all histograms generated 
Detector	xstd	ystd
MW903	2.0810816676958126	1.639743036757675
MW906	2.440313034267629	1.9416704608858162
MW908	1.3976756468062814	2.5170435346669224
MW910	1.9852187965983825	1.738965567816793
MW910	1.9852187965983825	1.738965567816793
MW914	4.678582356255875	2.419351696084188
MW919	2.490104828194428	2.2310472902628895
MW922	2.0732649781033423	2.585004789043005
MW924	0.9869460725283834	2.2263639260760217
MW926	2.244984098050838	2.111401253977399
MW927	2.7993146392868873	2.9590757559406886
MW930	5.730188315684833	2.511895669345315
MW932	2.240848002471871	2.434334321145682
Standard deviations for all histograms generated 
Detector	xstd	ystd
Standard deviations for all histograms generated 
Detector	xstd	ystd
MW903	2.0810816676958126	1.639743036757675
MW906	2.440313034267629	1.9416704608858162
MW908	1.3976756468062814	2.5170435346669224
MW910	1.9852187965983825	1.738965567816793
MW910	1.9852187965983825	1.738965567816793
MW914	4.678582356255875	2.419351696084188
MW919	2.490104828194428	2.2310472902628895
MW922	2.0732649781033423	2.585004789043005
MW924	0.9869460725283834	2.2263639260760217
MW926	2.244984098050838	2.111401253977399
MW927	2.7993146392868873	2.9590757559406886
MW930	5.730188315684833	2.511895669345315
MW932	2.240848002471871	2.434334321145682
Standard deviations for all histograms generated 
Detector	xstd	ystd
MW903	2.0810816676958126	1.639743036757675
MW906	2.440313034267629	1.9416704608858162
MW908	1.3976756468062814	2.5170435346669224
MW910	1.9852187965983825	1.738965567816793
MW910	1.9852187965983825	1.738965567816793
MW914	4.678582356255875	2.419351696084188
MW919	2.490104828194428	2.2310472902628895
MW922	2.0732649781033423	2.585004789043005
MW924	0.9869460725283834	2.2263639260760217
MW926	2.244984098050838	2.111401253977399
