#BLTrackFile2 Control_926
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.1146 -1.82315 113797 1.10669 1.10882 8912.71 381.691 2212 1 1 0 1 0 0 0 0 0 0 39.9611 113799 0 0 0 2.08832 1.04131 0 0 8023.69 
-4.40908 1.10952 113797 -1.76868 1.6026 8881.38 381.699 2212 2 1 0 1 0 0 0 0 0 0 40.1014 113797 0 0 0 -2.61665 -0.629371 0 0 7992.53 
1.06045 3.51046 113797 2.01365 3.07543 8849.69 381.707 2212 3 1 0 1 0 0 0 0 0 0 40.2442 113795 0 0 0 3.24342 -1.4974 0 0 7961.02 
0.653226 2.54212 113797 1.19287 2.4281 8869.34 381.702 2212 4 1 0 1 0 0 0 0 0 0 40.1555 113796 0 0 0 1.79911 -1.25673 0 0 7980.56 
4.28955 1.79497 113797 2.68707 3.7069 8865.62 381.703 2212 5 1 0 1 0 0 0 0 0 0 40.1723 113796 0 0 0 3.99701 -0.144198 0 0 7976.86 
-0.865699 2.6387 113797 -0.227401 2.46346 8859.42 381.704 2212 6 1 0 1 0 0 0 0 0 0 40.2002 113796 0 0 0 -0.492555 -1.2221 0 0 7970.7 
1.65214 6.52698 113797 0.613987 10.0346 8899.54 381.694 2212 7 1 0 1 0 0 0 0 0 0 40.0199 113798 0 0 0 0.82195 -2.58302 0 0 8010.6 
2.54855 -3.7144 113797 1.68826 -1.37891 8949.43 381.682 2212 8 1 0 1 0 0 0 0 0 0 39.798 113802 0 0 0 2.66447 1.26912 0 0 8060.21 
0.774343 2.71371 113797 0.572732 2.20868 8920.87 381.688 2212 9 1 0 1 0 0 0 0 0 0 39.9246 113800 0 0 0 0.896644 -2.19283 0 0 8031.81 
-0.454038 -0.820024 113797 0.700986 1.48193 8873.65 381.701 2212 10 1 0 1 0 0 0 0 0 0 40.1361 113797 0 0 0 1.12872 1.05919 0 0 7984.84 
-3.36012 -1.75581 113797 -2.27234 0.950713 8860.9 381.705 2212 11 1 0 1 0 0 0 0 0 0 40.1936 113796 0 0 0 -3.67625 1.74564 0 0 7972.17 
-2.1505 3.81097 113797 -1.37842 4.24102 8889.47 381.696 2212 12 1 0 1 0 0 0 0 0 0 40.065 113798 0 0 0 -2.14106 -1.9603 0 0 8000.58 
-0.292768 -2.49407 113797 -2.14305 -0.807832 8892.76 381.696 2212 13 1 0 1 0 0 0 0 0 0 40.0503 113798 0 0 0 -3.62641 1.25342 0 0 8003.85 
-1.89481 0.192843 113797 1.21462 -0.682493 8884.09 381.698 2212 14 1 0 1 0 0 0 0 0 0 40.0891 113797 0 0 0 2.21087 -0.700614 0 0 7995.23 
1.08108 -0.317061 113797 -0.380678 -0.400595 8867.91 381.702 2212 15 1 0 1 0 0 0 0 0 0 40.1619 113796 0 0 0 -0.887708 -0.025094 0 0 7979.14 
-2.51017 1.4603 113797 0.534582 3.35837 8853.9 381.706 2212 16 1 0 1 0 0 0 0 0 0 40.2252 113795 0 0 0 0.980215 0.286053 0 0 7965.2 
-2.22921 -0.103771 113797 -1.05259 0.375958 8869.83 381.702 2212 17 1 0 1 0 0 0 0 0 0 40.1533 113796 0 0 0 -1.6885 0.067994 0 0 7981.05 
-1.44118 4.51025 113797 -1.59909 5.15107 8950 381.681 2212 18 1 0 1 0 0 0 0 0 0 39.7954 113801 0 0 0 -2.15007 -3.11595 0 0 8060.78 
-3.76596 0.935254 113797 -2.2379 1.21583 8858.63 381.705 2212 19 1 0 1 0 0 0 0 0 0 40.2038 113796 0 0 0 -3.69238 -0.302994 0 0 7969.91 
-3.31675 2.65024 113797 -0.480718 3.11312 8867.7 381.702 2212 20 1 0 1 0 0 0 0 0 0 40.1629 113796 0 0 0 -0.641156 -1.09601 0 0 7978.93 
3.90199 -0.412751 113797 2.57996 1.00474 8908.06 381.692 2212 21 1 0 1 0 0 0 0 0 0 39.9818 113799 0 0 0 3.77039 0.027526 0 0 8019.07 
-1.17177 1.33105 113797 -1.97061 2.73272 8903.46 381.693 2212 22 1 0 1 0 0 0 0 0 0 40.0024 113799 0 0 0 -3.19237 -0.715185 0 0 8014.5 
