#BLTrackFile2 MW926
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.05463 -1.76306 114280 1.10669 1.10882 8912.71 383.311 2212 1 1 0 1 0 0 0 0 0 0 40.1307 114282 0 0 0 2.08832 1.04131 0 0 8023.69 
-4.50526 1.19668 114280 -1.76868 1.6026 8881.38 383.319 2212 2 1 0 1 0 0 0 0 0 0 40.2716 114280 0 0 0 -2.61665 -0.629371 0 0 7992.53 
1.17035 3.67831 114280 2.01365 3.07543 8849.69 383.327 2212 3 1 0 1 0 0 0 0 0 0 40.415 114278 0 0 0 3.24342 -1.4974 0 0 7961.02 
0.718187 2.67435 114280 1.19287 2.4281 8869.34 383.322 2212 4 1 0 1 0 0 0 0 0 0 40.3259 114279 0 0 0 1.79911 -1.25673 0 0 7980.56 
4.43594 1.99692 114280 2.68707 3.7069 8865.62 383.323 2212 5 1 0 1 0 0 0 0 0 0 40.3428 114279 0 0 0 3.99701 -0.144198 0 0 7976.86 
-0.878096 2.77301 114280 -0.227401 2.46346 8859.42 383.324 2212 6 1 0 1 0 0 0 0 0 0 40.3708 114279 0 0 0 -0.492555 -1.2221 0 0 7970.7 
1.68546 7.07158 114280 0.613987 10.0346 8899.54 383.314 2212 7 1 0 1 0 0 0 0 0 0 40.1898 114281 0 0 0 0.82195 -2.58302 0 0 8010.6 
2.63966 -3.78882 114280 1.68826 -1.37891 8949.43 383.302 2212 8 1 0 1 0 0 0 0 0 0 39.9669 114285 0 0 0 2.66447 1.26912 0 0 8060.21 
0.805352 2.8333 114280 0.572732 2.20868 8920.87 383.308 2212 9 1 0 1 0 0 0 0 0 0 40.0941 114283 0 0 0 0.896644 -2.19283 0 0 8031.81 
-0.415883 -0.739361 114280 0.700986 1.48193 8873.65 383.321 2212 10 1 0 1 0 0 0 0 0 0 40.3065 114280 0 0 0 1.12872 1.05919 0 0 7984.84 
-3.48398 -1.70399 114280 -2.27234 0.950713 8860.9 383.325 2212 11 1 0 1 0 0 0 0 0 0 40.3642 114279 0 0 0 -3.67625 1.74564 0 0 7972.17 
-2.22539 4.0414 114280 -1.37842 4.24102 8889.47 383.316 2212 12 1 0 1 0 0 0 0 0 0 40.235 114281 0 0 0 -2.14106 -1.9603 0 0 8000.58 
-0.409165 -2.53795 114280 -2.14305 -0.807832 8892.76 383.316 2212 13 1 0 1 0 0 0 0 0 0 40.2203 114281 0 0 0 -3.62641 1.25342 0 0 8003.85 
-1.82878 0.155738 114280 1.21462 -0.682493 8884.09 383.318 2212 14 1 0 1 0 0 0 0 0 0 40.2593 114280 0 0 0 2.21087 -0.700614 0 0 7995.23 
1.06035 -0.33888 114280 -0.380678 -0.400595 8867.91 383.322 2212 15 1 0 1 0 0 0 0 0 0 40.3324 114279 0 0 0 -0.887708 -0.025094 0 0 7979.14 
-2.48101 1.64351 114280 0.534582 3.35837 8853.9 383.326 2212 16 1 0 1 0 0 0 0 0 0 40.396 114278 0 0 0 0.980215 0.286053 0 0 7965.2 
-2.28652 -0.0832984 114280 -1.05259 0.375958 8869.83 383.322 2212 17 1 0 1 0 0 0 0 0 0 40.3237 114279 0 0 0 -1.6885 0.067994 0 0 7981.05 
-1.52748 4.78824 114280 -1.59909 5.15107 8950 383.301 2212 18 1 0 1 0 0 0 0 0 0 39.9643 114284 0 0 0 -2.15007 -3.11595 0 0 8060.78 
-3.88797 1.00154 114280 -2.2379 1.21583 8858.63 383.325 2212 19 1 0 1 0 0 0 0 0 0 40.3745 114279 0 0 0 -3.69238 -0.302994 0 0 7969.91 
-3.34293 2.8198 114280 -0.480718 3.11312 8867.7 383.322 2212 20 1 0 1 0 0 0 0 0 0 40.3333 114279 0 0 0 -0.641156 -1.09601 0 0 7978.93 
4.04188 -0.358273 114280 2.57996 1.00474 8908.06 383.312 2212 21 1 0 1 0 0 0 0 0 0 40.1515 114282 0 0 0 3.77039 0.027526 0 0 8019.07 
-1.27867 1.47929 114280 -1.97061 2.73272 8903.46 383.313 2212 22 1 0 1 0 0 0 0 0 0 40.1721 114282 0 0 0 -3.19237 -0.715185 0 0 8014.5 
-5.06287 2.64137 114280 -0.857657 5.36947 8857.31 383.326 2212 23 1 0 1 0 0 0 0 0 0 40.3805 114279 0 0 0 -1.31692 0.168098 0 0 7968.59 
2.41507 3.75892 114280 1.75351 3.99342 8873.18 383.321 2212 24 1 0 1 0 0 0 0 0 0 40.3085 114280 0 0 0 2.55598 -1.54246 0 0 7984.38 
-4.54968 4.1612 114280 -2.68167 6.21176 8933.69 383.306 2212 25 1 0 1 0 0 0 0 0 0 40.0369 114284 0 0 0 -3.32334 -2.03904 0 0 8044.56 
-2.65899 1.56435 114280 -2.42032 3.62665 8925.9 383.308 2212 26 1 0 1 0 0 0 0 0 0 40.0717 114283 0 0 0 -3.34527 -0.797743 0 0 8036.81 
0.650442 0.98917 114280 0.458005 2.41931 8886.92 383.317 2212 27 1 0 1 0 0 0 0 0 0 40.2466 114280 0 0 0 0.627098 -0.171696 0 0 7998.04 
-1.242 5.2782 114280 0.367779 5.15584 8932.06 383.305 2212 28 1 0 1 0 0 0 0 0 0 40.0441 114283 0 0 0 1.07353 -3.25992 0 0 8042.93 
-1.18428 1.74379 114280 -2.60289 2.57338 8897.05 383.315 2212 29 1 0 1 0 0 0 0 0 0 40.201 114281 0 0 0 -4.35603 -0.943265 0 0 8008.11 
-0.182728 -1.27879 114280 0.973649 2.91406 8910.22 383.312 2212 30 1 0 1 0 0 0 0 0 0 40.1419 114282 0 0 0 1.70061 1.30784 0 0 8021.21 
-3.20706 5.51743 114280 0.462065 7.3162 8916.43 383.31 2212 31 1 0 1 0 0 0 0 0 0 40.114 114282 0 0 0 1.38837 -2.40415 0 0 8027.39 
0.875983 -2.16594 114280 -1.70966 -0.865142 8845.59 383.329 2212 32 1 0 1 0 0 0 0 0 0 40.4337 114278 0 0 0 -3.18182 1.53258 0 0 7956.94 
0.768391 -3.51131 114280 0.691222 1.18982 8895.5 383.316 2212 33 1 0 1 0 0 0 0 0 0 40.208 114281 0 0 0 1.07894 2.73522 0 0 8006.58 
0.178339 -1.36 114280 0.0876443 2.79325 8860.01 383.325 2212 34 1 0 1 0 0 0 0 0 0 40.3683 114279 0 0 0 -0.036749 2.33484 0 0 7971.28 
-1.19331 0.638307 114280 -0.107589 2.7007 8869.14 383.322 2212 35 1 0 1 0 0 0 0 0 0 40.3269 114279 0 0 0 -0.196172 0.492653 0 0 7980.36 
2.53845 -1.2461 114280 2.32523 0.785111 8879.91 383.319 2212 36 1 0 1 0 0 0 0 0 0 40.2782 114280 0 0 0 3.51226 1.08838 0 0 7991.07 
3.14235 -1.61987 114280 1.43977 -0.688428 8919.56 383.309 2212 37 1 0 1 0 0 0 0 0 0 40.1 114283 0 0 0 2.11504 0.235789 0 0 8030.5 
-4.6262 -3.17988 114280 -0.870895 -1.08329 8899.76 383.314 2212 38 1 0 1 0 0 0 0 0 0 40.1888 114281 0 0 0 -0.808751 1.53004 0 0 8010.81 
1.87306 1.89489 114280 -0.778358 5.50432 8907.67 383.312 2212 39 1 0 1 0 0 0 0 0 0 40.1533 114282 0 0 0 -1.58605 -0.179227 0 0 8018.68 
5.57043 1.28983 114280 1.38909 2.33167 8903.35 383.313 2212 40 1 0 1 0 0 0 0 0 0 40.1727 114281 0 0 0 1.43174 -0.691927 0 0 8014.38 
3.95253 4.86083 114280 2.40558 3.46067 8919 383.308 2212 41 1 0 1 0 0 0 0 0 0 40.1024 114282 0 0 0 3.40265 -3.24697 0 0 8029.95 
-2.83916 0.217852 114280 -0.895064 1.32081 8877.66 383.32 2212 42 1 0 1 0 0 0 0 0 0 40.2883 114280 0 0 0 -1.31423 0.104179 0 0 7988.84 
-2.9819 2.64049 114280 -0.34755 3.43399 8889.5 383.317 2212 43 1 0 1 0 0 0 0 0 0 40.2349 114281 0 0 0 -0.311285 -1.17962 0 0 8000.61 
-0.621385 4.44375 114280 -0.531975 6.85795 8912.03 383.311 2212 44 1 0 1 0 0 0 0 0 0 40.1337 114282 0 0 0 -0.683263 -1.64342 0 0 8023.01 
4.63045 7.00783 114280 0.0487188 8.08554 8956.47 383.299 2212 45 1 0 1 0 0 0 0 0 0 39.9356 114285 0 0 0 -0.605181 -4.10971 0 0 8067.21 
-2.84212 3.696 114280 0.0234452 5.29818 8878.31 383.32 2212 46 1 0 1 0 0 0 0 0 0 40.2854 114280 0 0 0 0.253485 -1.09572 0 0 7989.48 
-1.67437 -4.17585 114280 0.714606 2.44478 8858.65 383.326 2212 47 1 0 1 0 0 0 0 0 0 40.3745 114279 0 0 0 1.22191 4.31421 0 0 7969.93 
