#BLTrackFile2 VD_Diagnostic_104
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
6.41265 2.44103 232500 4.01764 -6.12231 8912.7 779.829 2212 1 1 0 1 0 0 0 0 0 0 81.6442 232502 0 0 0 2.08832 1.04131 0 0 8023.69 
3.61546 -3.17179 232500 3.67506 5.2166 8881.38 779.853 2212 2 1 0 1 0 0 0 0 0 0 81.9315 232500 0 0 0 -2.61665 -0.629371 0 0 7992.53 
4.98812 -9.10906 232500 2.23914 16.9313 8849.67 779.877 2212 3 1 0 1 0 0 0 0 0 0 82.2242 232498 0 0 0 3.24342 -1.4974 0 0 7961.02 
3.50928 -6.57839 232500 1.69282 11.7915 8869.33 779.862 2212 4 1 0 1 0 0 0 0 0 0 82.0425 232499 0 0 0 1.79911 -1.25673 0 0 7980.56 
1.77156 -6.6484 232500 -0.566108 11.1655 8865.61 779.865 2212 5 1 0 1 0 0 0 0 0 0 82.0768 232499 0 0 0 3.99701 -0.144198 0 0 7976.86 
2.5678 -6.84595 232500 1.80617 12.4907 8859.41 779.87 2212 6 1 0 1 0 0 0 0 0 0 82.1341 232499 0 0 0 -0.492555 -1.2221 0 0 7970.7 
0.6791 -19.4411 232500 -0.0277883 32.2616 8899.49 779.841 2212 7 1 0 1 0 0 0 0 0 0 81.7649 232502 0 0 0 0.82195 -2.58302 0 0 8010.6 
3.16346 7.88586 232500 1.11889 -15.7407 8949.42 779.802 2212 8 1 0 1 0 0 0 0 0 0 81.31 232504 0 0 0 2.66447 1.26912 0 0 8060.21 
2.23635 -5.80969 232500 1.1593 9.40666 8920.87 779.823 2212 9 1 0 1 0 0 0 0 0 0 81.5696 232503 0 0 0 0.896644 -2.19283 0 0 8031.81 
4.3398 -0.178491 232500 2.61024 -0.610126 8873.65 779.859 2212 10 1 0 1 0 0 0 0 0 0 82.0027 232500 0 0 0 1.12872 1.05919 0 0 7984.84 
2.25668 1.87241 232500 2.72625 -4.20798 8860.9 779.869 2212 11 1 0 1 0 0 0 0 0 0 82.1205 232499 0 0 0 -3.67625 1.74564 0 0 7972.17 
1.00363 -10.0191 232500 1.48679 17.1211 8889.46 779.847 2212 12 1 0 1 0 0 0 0 0 0 81.8571 232501 0 0 0 -2.14106 -1.9603 0 0 8000.58 
-4.09613 4.97726 232500 -1.8998 -9.7968 8892.76 779.844 2212 13 1 0 1 0 0 0 0 0 0 81.8269 232501 0 0 0 -3.62641 1.25342 0 0 8003.85 
7.89315 0.477212 232500 4.89659 -0.734088 8884.09 779.85 2212 14 1 0 1 0 0 0 0 0 0 81.9065 232500 0 0 0 2.21087 -0.700614 0 0 7995.23 
-1.16119 0.888309 232500 -0.792908 -1.51414 8867.91 779.863 2212 15 1 0 1 0 0 0 0 0 0 82.0556 232499 0 0 0 -0.887708 -0.025094 0 0 7979.14 
7.41604 -5.97772 232500 4.84646 10.3074 8853.89 779.874 2212 16 1 0 1 0 0 0 0 0 0 82.1852 232499 0 0 0 0.980215 0.286053 0 0 7965.2 
2.89974 -0.202707 232500 2.56135 0.191789 8869.83 779.862 2212 17 1 0 1 0 0 0 0 0 0 82.0379 232499 0 0 0 -1.6885 0.067994 0 0 7981.05 
-2.05786 -10.52 232500 -0.618265 16.4419 8949.99 779.803 2212 18 1 0 1 0 0 0 0 0 0 81.3049 232505 0 0 0 -2.15007 -3.11595 0 0 8060.78 
2.2502 -2.9302 232500 2.80624 5.37344 8858.63 779.87 2212 19 1 0 1 0 0 0 0 0 0 82.1414 232499 0 0 0 -3.69238 -0.302994 0 0 7969.91 
5.86314 -7.47939 232500 4.4414 13.2338 8867.69 779.864 2212 20 1 0 1 0 0 0 0 0 0 82.0576 232499 0 0 0 -0.641156 -1.09601 0 0 7978.93 
2.77763 0.170375 232500 0.212554 -1.50568 8908.06 779.833 2212 21 1 0 1 0 0 0 0 0 0 81.6867 232502 0 0 0 3.77039 0.027526 0 0 8019.07 
-1.9558 -4.23831 232500 -0.352712 6.2835 8903.46 779.837 2212 22 1 0 1 0 0 0 0 0 0 81.7288 232502 0 0 0 -3.19237 -0.715185 0 0 8014.5 
7.81008 -9.264 232500 5.96137 15.6726 8857.29 779.872 2212 23 1 0 1 0 0 0 0 0 0 82.1538 232499 0 0 0 -1.31692 0.168098 0 0 7968.59 
2.23709 -9.58849 232500 0.422262 16.7628 8873.17 779.859 2212 24 1 0 1 0 0 0 0 0 0 82.007 232500 0 0 0 2.55598 -1.54246 0 0 7984.38 
0.0875959 -10.4281 232500 1.74971 15.727 8933.68 779.815 2212 25 1 0 1 0 0 0 0 0 0 81.453 232504 0 0 0 -3.32334 -2.03904 0 0 8044.56 
-1.73883 -4.82579 232500 0.109893 6.55647 8925.9 779.82 2212 26 1 0 1 0 0 0 0 0 0 81.5239 232503 0 0 0 -3.34527 -0.797743 0 0 8036.81 
1.88725 -3.424 232500 0.910681 5.10691 8886.92 779.849 2212 27 1 0 1 0 0 0 0 0 0 81.8806 232501 0 0 0 0.627098 -0.171696 0 0 7998.04 
4.54905 -11.434 232500 3.13206 18.4747 8932.04 779.815 2212 28 1 0 1 0 0 0 0 0 0 81.4678 232504 0 0 0 1.07353 -3.25992 0 0 8042.93 
-4.17714 -4.72043 232500 -1.70033 7.5402 8897.05 779.841 2212 29 1 0 1 0 0 0 0 0 0 81.7876 232501 0 0 0 -4.35603 -0.943265 0 0 8008.11 
4.79036 0.22268 232500 2.8044 -2.81161 8910.22 779.832 2212 30 1 0 1 0 0 0 0 0 0 81.667 232502 0 0 0 1.70061 1.30784 0 0 8021.21 
7.27867 -14.3085 232500 5.20338 23.1973 8916.4 779.828 2212 31 1 0 1 0 0 0 0 0 0 81.6103 232503 0 0 0 1.38837 -2.40415 0 0 8027.39 
-4.36815 4.07811 232500 -2.24787 -7.40055 8845.59 779.88 2212 32 1 0 1 0 0 0 0 0 0 82.2622 232498 0 0 0 -3.18182 1.53258 0 0 7956.94 
2.66445 4.91144 232500 1.39862 -10.9907 8895.49 779.843 2212 33 1 0 1 0 0 0 0 0 0 81.8018 232501 0 0 0 1.07894 2.73522 0 0 8006.58 
1.5436 -0.539314 232500 0.921708 -0.489665 8860.01 779.87 2212 34 1 0 1 0 0 0 0 0 0 82.1287 232499 0 0 0 -0.036749 2.33484 0 0 7971.28 
3.06392 -3.45034 232500 2.13966 5.35202 8869.14 779.863 2212 35 1 0 1 0 0 0 0 0 0 82.0443 232499 0 0 0 -0.196172 0.492653 0 0 7980.36 
4.59871 1.45237 232500 1.77854 -3.53171 8879.91 779.854 2212 36 1 0 1 0 0 0 0 0 0 81.9451 232500 0 0 0 3.51226 1.08838 0 0 7991.07 
1.51789 3.59048 232500 -0.012602 -7.40978 8919.55 779.824 2212 37 1 0 1 0 0 0 0 0 0 81.5817 232502 0 0 0 2.11504 0.235789 0 0 8030.5 
