#BLTrackFile2 Control
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.06789 2.63949 141165 0.441661 1.52329 8912.14 473.485 2212 1 1 0 1 0 0 0 0 0 0 49.5747 141167 0 0 0 1.75026 0.73893 0 0 8023.12 
-15.1677 0.41901 141165 0.125658 -1.11975 8881.59 473.497 2212 2 1 0 1 0 0 0 0 0 0 49.7444 141165 0 0 0 -2.18434 -0.461093 0 0 7992.75 
8.57696 -0.726274 141165 0.483157 -3.36872 8850.7 473.508 2212 3 1 0 1 0 0 0 0 0 0 49.9174 141163 0 0 0 2.6851 -1.04083 0 0 7962.03 
4.74596 -0.251513 141165 0.317534 -2.43031 8869.86 473.501 2212 4 1 0 1 0 0 0 0 0 0 49.81 141164 0 0 0 1.49016 -0.910935 0 0 7981.07 
16.7766 1.20478 141165 0.327791 -1.80087 8866.23 473.502 2212 5 1 0 1 0 0 0 0 0 0 49.8303 141164 0 0 0 3.32011 -0.042043 0 0 7977.47 
-2.93963 -0.38087 141165 0.145749 -2.63348 8860.19 473.505 2212 6 1 0 1 0 0 0 0 0 0 49.8641 141164 0 0 0 -0.423924 -0.856072 0 0 7971.46 
4.75861 1.22663 141165 0.141953 -6.35584 8899.3 473.49 2212 7 1 0 1 0 0 0 0 0 0 49.6458 141166 0 0 0 0.68916 -2.01994 0 0 8010.36 
10.1785 2.5673 141165 0.321522 3.28034 8947.94 473.472 2212 8 1 0 1 0 0 0 0 0 0 49.3771 141169 0 0 0 2.24655 0.810441 0 0 8058.72 
2.71208 -0.467521 141165 0.178782 -2.53042 8920.1 473.482 2212 9 1 0 1 0 0 0 0 0 0 49.5305 141167 0 0 0 0.760796 -1.77945 0 0 8031.04 
0.961535 1.99712 141165 0.312434 0.55068 8874.06 473.5 2212 10 1 0 1 0 0 0 0 0 0 49.7865 141165 0 0 0 0.9334 0.863595 0 0 7985.25 
-14.8327 2.42596 141165 -0.0744723 1.3154 8861.63 473.505 2212 11 1 0 1 0 0 0 0 0 0 49.8561 141164 0 0 0 -3.07635 1.4294 0 0 7972.89 
-9.04649 -0.149178 141165 -0.0272021 -3.60987 8889.49 473.493 2212 12 1 0 1 0 0 0 0 0 0 49.7004 141166 0 0 0 -1.78445 -1.51091 0 0 8000.59 
-8.08415 1.9088 141165 -0.297343 2.14368 8892.69 473.493 2212 13 1 0 1 0 0 0 0 0 0 49.6826 141166 0 0 0 -3.02079 0.959189 0 0 8003.78 
-0.349866 -0.278229 141165 0.54076 -0.272554 8884.24 473.495 2212 14 1 0 1 0 0 0 0 0 0 49.7296 141165 0 0 0 1.83979 -0.523772 0 0 7995.38 
0.465621 0.326994 141165 -0.0451005 0.155152 8868.47 473.501 2212 15 1 0 1 0 0 0 0 0 0 49.8178 141164 0 0 0 -0.749481 0.043346 0 0 7979.69 
-3.46616 1.34943 141165 0.453711 -1.36406 8854.81 473.507 2212 16 1 0 1 0 0 0 0 0 0 49.8944 141164 0 0 0 0.800953 0.323179 0 0 7966.11 
-8.16715 0.662463 141165 0.099281 -0.0441384 8870.34 473.501 2212 17 1 0 1 0 0 0 0 0 0 49.8073 141164 0 0 0 -1.41596 0.109707 0 0 7981.55 
-8.89628 0.0231797 141165 -0.185374 -4.13463 8948.5 473.472 2212 18 1 0 1 0 0 0 0 0 0 49.374 141169 0 0 0 -1.76531 -2.57436 0 0 8059.28 
-15.3756 0.309084 141165 -0.0182586 -1.00152 8859.42 473.505 2212 19 1 0 1 0 0 0 0 0 0 49.8685 141164 0 0 0 -3.09079 -0.144711 0 0 7970.69 
-8.67732 0.057825 141165 0.303911 -2.60992 8868.26 473.501 2212 20 1 0 1 0 0 0 0 0 0 49.8189 141164 0 0 0 -0.544113 -0.782289 0 0 7979.49 
15.9312 1.36144 141165 0.331499 0.301262 8907.61 473.487 2212 21 1 0 1 0 0 0 0 0 0 49.5997 141167 0 0 0 3.14994 -0.030038 0 0 8018.62 
-9.24834 0.997949 141165 -0.23722 -1.31573 8903.13 473.489 2212 22 1 0 1 0 0 0 0 0 0 49.6246 141167 0 0 0 -2.65438 -0.590002 0 0 8014.16 
-13.4959 1.7266 141165 0.362346 -2.46567 8858.13 473.506 2212 23 1 0 1 0 0 0 0 0 0 49.8757 141164 0 0 0 -1.11183 0.222497 0 0 7969.41 
9.8608 -0.072424 141165 0.290819 -3.32969 8873.61 473.499 2212 24 1 0 1 0 0 0 0 0 0 49.789 141165 0 0 0 2.12258 -1.1423 0 0 7984.8 
-17.835 1.24732 141165 -0.165439 -3.54413 8932.6 473.478 2212 25 1 0 1 0 0 0 0 0 0 49.4616 141168 0 0 0 -2.75022 -1.69719 0 0 8043.47 
