#BLTrackFile2 MW932
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
2.06976 1.25343 166780 1.28594 -2.86712 8912.14 559.4 2212 1 1 0 1 0 0 0 0 0 0 58.5701 166782 0 0 0 1.75026 0.73893 0 0 8023.12 
4.26921 -1.30807 166780 5.93878 0.132182 8881.59 559.414 2212 2 1 0 1 0 0 0 0 0 0 58.7708 166780 0 0 0 -2.18434 -0.461093 0 0 7992.75 
0.483773 -3.58906 166780 -1.26944 2.065 8850.7 559.429 2212 3 1 0 1 0 0 0 0 0 0 58.9752 166778 0 0 0 2.6851 -1.04083 0 0 7962.03 
0.513372 -2.63069 166780 -0.527704 1.25791 8869.86 559.42 2212 4 1 0 1 0 0 0 0 0 0 58.8483 166779 0 0 0 1.49016 -0.910935 0 0 7981.07 
-2.41293 -2.20204 166780 -4.89829 -0.231712 8866.23 559.422 2212 5 1 0 1 0 0 0 0 0 0 58.8723 166779 0 0 0 3.32011 -0.042043 0 0 7977.47 
1.50907 -2.84192 166780 1.63754 1.45667 8860.19 559.425 2212 6 1 0 1 0 0 0 0 0 0 58.9123 166779 0 0 0 -0.423924 -0.856072 0 0 7971.46 
-0.300619 -7.22555 166780 -1.11944 1.69597 8899.3 559.406 2212 7 1 0 1 0 0 0 0 0 0 58.6542 166781 0 0 0 0.68916 -2.01994 0 0 8010.36 
-0.671896 3.2017 166780 -2.43233 -3.56256 8947.94 559.383 2212 8 1 0 1 0 0 0 0 0 0 58.3365 166784 0 0 0 2.24655 0.810441 0 0 8058.72 
0.329272 -2.71137 166780 -0.279368 1.47268 8920.1 559.396 2212 9 1 0 1 0 0 0 0 0 0 58.5179 166782 0 0 0 0.760796 -1.77945 0 0 8031.04 
1.42293 0.243813 166780 0.840996 -1.91032 8874.06 559.418 2212 10 1 0 1 0 0 0 0 0 0 58.8205 166780 0 0 0 0.9334 0.863595 0 0 7985.25 
3.3169 1.02803 166780 5.18093 -2.60184 8861.63 559.425 2212 11 1 0 1 0 0 0 0 0 0 58.9028 166779 0 0 0 -3.07635 1.4294 0 0 7972.89 
1.98202 -3.95156 166780 3.13904 1.67484 8889.49 559.41 2212 12 1 0 1 0 0 0 0 0 0 58.7188 166781 0 0 0 -1.78445 -1.51091 0 0 8000.59 
0.370324 2.04746 166780 1.8002 -2.52604 8892.69 559.409 2212 13 1 0 1 0 0 0 0 0 0 58.6977 166781 0 0 0 -3.02079 0.959189 0 0 8003.78 
2.94479 -0.254687 166780 2.184 0.351402 8884.24 559.413 2212 14 1 0 1 0 0 0 0 0 0 58.7533 166780 0 0 0 1.83979 -0.523772 0 0 7995.38 
-0.354129 0.114627 166780 -0.342373 -0.341151 8868.47 559.421 2212 15 1 0 1 0 0 0 0 0 0 58.8575 166779 0 0 0 -0.749481 0.043346 0 0 7979.69 
3.27876 -1.7506 166780 3.00347 -0.540178 8854.81 559.428 2212 16 1 0 1 0 0 0 0 0 0 58.948 166779 0 0 0 0.800953 0.323179 0 0 7966.11 
2.62778 -0.16706 166780 3.42996 -0.536336 8870.34 559.42 2212 17 1 0 1 0 0 0 0 0 0 58.8451 166779 0 0 0 -1.41596 0.109707 0 0 7981.55 
0.986009 -4.56994 166780 2.41429 1.73543 8948.5 559.383 2212 18 1 0 1 0 0 0 0 0 0 58.3329 166784 0 0 0 -1.76531 -2.57436 0 0 8059.28 
3.91788 -1.15763 166780 5.7103 0.175135 8859.42 559.425 2212 19 1 0 1 0 0 0 0 0 0 58.9174 166779 0 0 0 -3.09079 -0.144711 0 0 7970.69 
3.71196 -2.88235 166780 4.3043 1.08084 8868.26 559.421 2212 20 1 0 1 0 0 0 0 0 0 58.8588 166779 0 0 0 -0.544113 -0.782289 0 0 7979.49 
-1.7221 0.0916542 166780 -4.26753 -1.27014 8907.61 559.402 2212 21 1 0 1 0 0 0 0 0 0 58.5997 166782 0 0 0 3.14994 -0.030038 0 0 8018.62 
0.831753 -1.62344 166780 2.3569 -0.273261 8903.13 559.404 2212 22 1 0 1 0 0 0 0 0 0 58.6291 166782 0 0 0 -2.65438 -0.590002 0 0 8014.16 
5.2386 -3.03091 166780 6.30345 -0.375167 8858.13 559.426 2212 23 1 0 1 0 0 0 0 0 0 58.926 166779 0 0 0 -1.11183 0.222497 0 0 7969.41 
-0.777649 -3.6666 166780 -2.42393 1.49558 8873.61 559.418 2212 24 1 0 1 0 0 0 0 0 0 58.8235 166780 0 0 0 2.12258 -1.1423 0 0 7984.8 
2.86588 -4.12579 166780 5.47047 0.46144 8932.6 559.391 2212 25 1 0 1 0 0 0 0 0 0 58.4364 166784 0 0 0 -2.75022 -1.69719 0 0 8043.47 
1.94875 -1.64334 166780 3.92908 -0.84545 8925 559.394 2212 26 1 0 1 0 0 0 0 0 0 58.4859 166783 0 0 0 -2.77192 -0.717401 0 0 8035.92 
0.38184 -1.23527 166780 -0.176148 -0.580506 8887 559.412 2212 27 1 0 1 0 0 0 0 0 0 58.7352 166780 0 0 0 0.521225 -0.123721 0 0 7998.12 
1.8941 -4.98235 166780 1.63862 2.32769 8931 559.391 2212 28 1 0 1 0 0 0 0 0 0 58.4467 166783 0 0 0 0.913127 -2.63448 0 0 8041.88 
0.305475 -2.08433 166780 2.29399 0.290102 8896.87 559.407 2212 29 1 0 1 0 0 0 0 0 0 58.6702 166781 0 0 0 -3.62692 -0.747756 0 0 8007.94 
1.26454 0.60599 166780 0.46381 -3.3663 8909.71 559.401 2212 30 1 0 1 0 0 0 0 0 0 58.586 166782 0 0 0 1.42607 0.951623 0 0 8020.71 
3.61232 -5.48989 166780 3.61363 1.42441 8915.77 559.398 2212 31 1 0 1 0 0 0 0 0 0 58.5462 166782 0 0 0 1.16862 -1.92989 0 0 8026.73 
-0.609845 1.58311 166780 0.324756 -2.01336 8846.71 559.432 2212 32 1 0 1 0 0 0 0 0 0 59.0018 166778 0 0 0 -2.67106 1.30847 0 0 7958.05 
0.388637 2.64704 166780 -0.389131 -4.75097 8895.36 559.408 2212 33 1 0 1 0 0 0 0 0 0 58.6802 166781 0 0 0 0.90154 2.09465 0 0 8006.44 
0.607671 0.803836 166780 0.379819 -3.44965 8860.76 559.425 2212 34 1 0 1 0 0 0 0 0 0 58.9085 166779 0 0 0 -0.043826 1.8865 0 0 7972.03 
1.75306 -1.12796 166780 1.85164 -1.0053 8869.67 559.42 2212 35 1 0 1 0 0 0 0 0 0 58.8496 166779 0 0 0 -0.172659 0.439301 0 0 7980.88 
-0.407292 0.740593 166780 -2.58778 -2.03793 8880.16 559.415 2212 36 1 0 1 0 0 0 0 0 0 58.7803 166780 0 0 0 2.92244 0.868357 0 0 7991.32 
-1.1962 1.25184 166780 -2.84533 -1.58461 8918.81 559.397 2212 37 1 0 1 0 0 0 0 0 0 58.5264 166782 0 0 0 1.77554 0.098013 0 0 8029.76 
4.48652 2.47717 166780 5.54227 -2.99712 8899.51 559.406 2212 38 1 0 1 0 0 0 0 0 0 58.6529 166781 0 0 0 -0.669661 1.15274 0 0 8010.57 
-1.24632 -2.21348 166780 -1.09145 -1.44165 8907.23 559.402 2212 39 1 0 1 0 0 0 0 0 0 58.6022 166782 0 0 0 -1.31393 -0.188452 0 0 8018.24 
-3.04316 -1.44621 166780 -5.00926 -0.247426 8903.01 559.404 2212 40 1 0 1 0 0 0 0 0 0 58.6299 166781 0 0 0 1.199 -0.571728 0 0 8014.05 
-1.73331 -4.5294 166780 -4.10543 2.9138 8918.27 559.396 2212 41 1 0 1 0 0 0 0 0 0 58.5298 166782 0 0 0 2.84831 -2.58743 0 0 8029.22 
3.16587 -0.603868 166780 3.95611 -0.709439 8877.97 559.416 2212 42 1 0 1 0 0 0 0 0 0 58.7947 166780 0 0 0 -1.10062 0.115396 0 0 7989.14 
3.07879 -2.83865 166780 3.66876 0.724531 8889.52 559.411 2212 43 1 0 1 0 0 0 0 0 0 58.7186 166781 0 0 0 -0.259621 -0.908692 0 0 8000.63 
0.963937 -4.54812 166780 1.28299 0.44172 8911.48 559.4 2212 44 1 0 1 0 0 0 0 0 0 58.5744 166782 0 0 0 -0.559687 -1.33047 0 0 8022.46 
-3.27584 -6.90944 166780 -4.01497 2.48114 8954.8 559.38 2212 45 1 0 1 0 0 0 0 0 0 58.292 166785 0 0 0 -0.475055 -3.35941 0 0 8065.55 
3.45876 -3.85054 166780 3.63581 0.729554 8878.61 559.416 2212 46 1 0 1 0 0 0 0 0 0 58.7905 166780 0 0 0 0.206093 -0.812193 0 0 7989.78 
2.53871 2.96081 166780 2.08849 -6.13827 8859.44 559.426 2212 47 1 0 1 0 0 0 0 0 0 58.9174 166779 0 0 0 1.00445 3.41747 0 0 7970.71 
-0.432625 -5.64019 166780 -0.107069 1.82157 8817.74 559.446 2212 48 1 0 1 0 0 0 0 0 0 59.195 166776 0 0 0 -1.42325 -0.142814 0 0 7929.25 
1.47505 -3.65746 166780 0.857434 2.21612 8838.17 559.436 2212 49 1 0 1 0 0 0 0 0 0 59.0586 166777 0 0 0 0.89123 -0.960036 0 0 7949.56 
0.786575 -5.83667 166780 0.624217 2.02451 8955.57 559.379 2212 50 1 0 1 0 0 0 0 0 0 58.287 166785 0 0 0 0.502408 -3.06672 0 0 8066.32 
2.32933 -0.935531 166780 3.83937 -3.27251 8906.35 559.403 2212 51 1 0 1 0 0 0 0 0 0 58.608 166782 0 0 0 -1.8924 0.861667 0 0 8017.36 
-3.05623 -2.8598 166780 -2.43523 1.86192 8864.96 559.422 2212 52 1 0 1 0 0 0 0 0 0 58.8807 166779 0 0 0 -2.80657 -1.16298 0 0 7976.2 
1.63468 -3.17362 166780 2.06527 1.56675 8871.01 559.419 2212 53 1 0 1 0 0 0 0 0 0 58.8406 166779 0 0 0 -0.958683 -1.09019 0 0 7982.22 
