#BLTrackFile2 VD_DSCollimator
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.34686 2.99954 159760 0.363424 -1.23607 8912.14 535.854 2212 1 1 0 1 0 0 0 0 0 0 56.1048 159762 0 0 0 1.75026 0.73893 0 0 8023.12 
-0.134815 -1.14162 159760 5.02138 -0.727074 8881.59 535.868 2212 2 1 0 1 0 0 0 0 0 0 56.297 159760 0 0 0 -2.18434 -0.461093 0 0 7992.75 
1.70827 -4.32175 159760 -1.95797 -0.796075 8850.7 535.882 2212 3 1 0 1 0 0 0 0 0 0 56.4928 159758 0 0 0 2.6851 -1.04083 0 0 7962.03 
1.08352 -2.98851 159760 -1.01104 -0.762139 8869.86 535.873 2212 4 1 0 1 0 0 0 0 0 0 56.3713 159759 0 0 0 1.49016 -0.910935 0 0 7981.07 
1.4483 -1.60515 159760 -4.84634 -1.54023 8866.23 535.875 2212 5 1 0 1 0 0 0 0 0 0 56.3942 159759 0 0 0 3.32011 -0.042043 0 0 7977.47 
0.357593 -3.29701 159760 1.17635 -0.75513 8860.19 535.878 2212 6 1 0 1 0 0 0 0 0 0 56.4325 159759 0 0 0 -0.423924 -0.856072 0 0 7971.46 
0.62804 -6.98256 159760 -1.26492 -3.32724 8899.3 535.86 2212 7 1 0 1 0 0 0 0 0 0 56.1854 159761 0 0 0 0.68916 -2.01994 0 0 8010.36 
1.33019 5.03936 159760 -2.7333 -0.502395 8947.94 535.839 2212 8 1 0 1 0 0 0 0 0 0 55.8811 159764 0 0 0 2.24655 0.810441 0 0 8058.72 
0.640667 -3.20105 159760 -0.571119 -0.659355 8920.1 535.85 2212 9 1 0 1 0 0 0 0 0 0 56.0548 159762 0 0 0 0.760796 -1.77945 0 0 8031.04 
0.962239 1.52733 159760 0.192787 -1.18803 8874.06 535.872 2212 10 1 0 1 0 0 0 0 0 0 56.3447 159760 0 0 0 0.9334 0.863595 0 0 7985.25 
