#BLTrackFile2 VD_Diagnostic_082
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-3.57018 -2.61478 185000 -8.6396 5.32287 8912.13 620.511 2212 1 1 0 1 0 0 0 0 0 0 64.9685 185002 0 0 0 1.75026 0.73893 0 0 8023.12 
-2.92106 -3.43179 185000 -8.93797 8.37459 8881.59 620.528 2212 2 1 0 1 0 0 0 0 0 0 65.1912 185000 0 0 0 -2.18434 -0.461093 0 0 7992.75 
-3.00285 -5.73754 185000 -6.33007 14.6771 8850.69 620.545 2212 3 1 0 1 0 0 0 0 0 0 65.4181 184998 0 0 0 2.6851 -1.04083 0 0 7962.03 
-2.05682 -4.75933 185000 -4.47254 12.0008 8869.85 620.534 2212 4 1 0 1 0 0 0 0 0 0 65.2772 184999 0 0 0 1.49016 -0.910935 0 0 7981.07 
-0.447028 -6.76271 185000 0.868888 16.3461 8866.22 620.537 2212 5 1 0 1 0 0 0 0 0 0 65.3038 184999 0 0 0 3.32011 -0.042043 0 0 7977.47 
-1.68011 -4.92993 185000 -4.44613 12.4923 8860.18 620.54 2212 6 1 0 1 0 0 0 0 0 0 65.3482 184999 0 0 0 -0.423924 -0.856072 0 0 7971.46 
-0.757269 -16.8636 185000 -1.29137 41.4741 8899.21 620.518 2212 7 1 0 1 0 0 0 0 0 0 65.0619 185001 0 0 0 0.68916 -2.01994 0 0 8010.36 
-1.60805 1.43383 185000 -2.72489 -4.72162 8947.93 620.492 2212 8 1 0 1 0 0 0 0 0 0 64.7094 185004 0 0 0 2.24655 0.810441 0 0 8058.72 
-1.22925 -4.52585 185000 -2.69574 11.4749 8920.09 620.506 2212 9 1 0 1 0 0 0 0 0 0 64.9106 185002 0 0 0 0.760796 -1.77945 0 0 8031.04 
-2.53916 -3.43588 185000 -6.09807 7.67001 8874.05 620.532 2212 10 1 0 1 0 0 0 0 0 0 65.2464 185000 0 0 0 0.9334 0.863595 0 0 7985.25 
-1.52119 -2.70711 185000 -5.44791 5.66305 8861.63 620.54 2212 11 1 0 1 0 0 0 0 0 0 65.3377 184999 0 0 0 -3.07635 1.4294 0 0 7972.89 
-0.825896 -7.61196 185000 -3.09344 19.0524 8889.47 620.523 2212 12 1 0 1 0 0 0 0 0 0 65.1335 185001 0 0 0 -1.78445 -1.51091 0 0 8000.59 
1.50927 0.36676 185000 2.74029 -1.77866 8892.69 620.522 2212 13 1 0 1 0 0 0 0 0 0 65.1101 185001 0 0 0 -3.02079 0.959189 0 0 8003.78 
-4.63264 0.035018 185000 -11.3855 0.0387024 8884.24 620.526 2212 14 1 0 1 0 0 0 0 0 0 65.1718 185000 0 0 0 1.83979 -0.523772 0 0 7995.38 
0.450391 -0.411873 185000 1.15558 0.880365 8868.47 620.535 2212 15 1 0 1 0 0 0 0 0 0 65.2874 184999 0 0 0 -0.749481 0.043346 0 0 7979.69 
-4.4191 -6.14988 185000 -11.1883 14.7602 8854.79 620.543 2212 16 1 0 1 0 0 0 0 0 0 65.3879 184999 0 0 0 0.800953 0.323179 0 0 7966.11 
-2.1202 -1.63463 185000 -6.14091 3.78106 8870.34 620.534 2212 17 1 0 1 0 0 0 0 0 0 65.2737 184999 0 0 0 -1.41596 0.109707 0 0 7981.55 
0.780076 -9.23119 185000 0.839211 22.9183 8948.47 620.491 2212 18 1 0 1 0 0 0 0 0 0 64.7053 185004 0 0 0 -1.76531 -2.57436 0 0 8059.28 
-2.3621 -2.91346 185000 -7.56019 7.14191 8859.41 620.541 2212 19 1 0 1 0 0 0 0 0 0 65.3539 184999 0 0 0 -3.09079 -0.144711 0 0 7970.69 
-3.74006 -5.85778 185000 -10.1582 14.6077 8868.25 620.535 2212 20 1 0 1 0 0 0 0 0 0 65.2889 184999 0 0 0 -0.544113 -0.782289 0 0 7979.49 
-1.40515 -2.47555 185000 -1.54748 5.55007 8907.61 620.513 2212 21 1 0 1 0 0 0 0 0 0 65.0014 185002 0 0 0 3.14994 -0.030038 0 0 8018.62 
