#BLTrackFile2 MW924
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.07665 -3.04678 107040 0.362761 1.95579 8912.14 359.027 2212 1 1 0 1 0 0 0 0 0 0 37.5907 107042 0 0 0 1.75026 0.73893 0 0 8023.12 
-0.444679 0.161132 107040 -4.20242 1.07282 8881.59 359.034 2212 2 1 0 1 0 0 0 0 0 0 37.7193 107040 0 0 0 -2.18434 -0.461093 0 0 7992.75 
-0.990465 2.17226 107040 2.4659 1.1648 8850.7 359.042 2212 3 1 0 1 0 0 0 0 0 0 37.8503 107038 0 0 0 2.6851 -1.04083 0 0 7962.03 
-0.549628 1.35649 107040 1.41262 1.10906 8869.86 359.037 2212 4 1 0 1 0 0 0 0 0 0 37.7689 107039 0 0 0 1.49016 -0.910935 0 0 7981.07 
-0.267997 -0.237347 107040 4.80926 2.30577 8866.23 359.038 2212 5 1 0 1 0 0 0 0 0 0 37.7843 107039 0 0 0 3.32011 -0.042043 0 0 7977.47 
-0.169641 1.5477 107040 -0.736837 1.09552 8860.19 359.039 2212 6 1 0 1 0 0 0 0 0 0 37.8099 107039 0 0 0 -0.423924 -0.856072 0 0 7971.46 
0.149446 1.96318 107040 1.43698 4.84941 8899.3 359.03 2212 7 1 0 1 0 0 0 0 0 0 37.6446 107041 0 0 0 0.68916 -2.01994 0 0 8010.36 
-0.250392 -3.86931 107040 2.96418 0.938338 8947.94 359.019 2212 8 1 0 1 0 0 0 0 0 0 37.4411 107044 0 0 0 2.24655 0.810441 0 0 8058.72 
-0.0823935 1.65487 107040 0.856948 0.896603 8920.1 359.025 2212 9 1 0 1 0 0 0 0 0 0 37.5573 107042 0 0 0 0.760796 -1.77945 0 0 8031.04 
-0.634861 -2.0298 107040 0.344657 1.81489 8874.06 359.036 2212 10 1 0 1 0 0 0 0 0 0 37.7512 107040 0 0 0 0.9334 0.863595 0 0 7985.25 
0.218219 -2.77834 107040 -4.07163 1.8422 8861.63 359.04 2212 11 1 0 1 0 0 0 0 0 0 37.8039 107039 0 0 0 -3.07635 1.4294 0 0 7972.89 
0.120245 1.83899 107040 -2.44611 1.86089 8889.49 359.032 2212 12 1 0 1 0 0 0 0 0 0 37.686 107041 0 0 0 -1.78445 -1.51091 0 0 8000.59 
1.25304 -2.70937 107040 -2.14878 0.835419 8892.69 359.032 2212 13 1 0 1 0 0 0 0 0 0 37.6725 107041 0 0 0 -3.02079 0.959189 0 0 8003.78 
-1.48465 0.374988 107040 -0.0512232 -0.142658 8884.24 359.033 2212 14 1 0 1 0 0 0 0 0 0 37.7081 107040 0 0 0 1.83979 -0.523772 0 0 7995.38 
0.618346 -0.363104 107040 0.245126 0.260254 8868.47 359.037 2212 15 1 0 1 0 0 0 0 0 0 37.7749 107039 0 0 0 -0.749481 0.043346 0 0 7979.69 
-1.27614 -0.58897 107040 -0.923354 2.21901 8854.81 359.041 2212 16 1 0 1 0 0 0 0 0 0 37.8329 107039 0 0 0 0.800953 0.323179 0 0 7966.11 
-0.128359 -0.567802 107040 -2.21267 0.729891 8870.34 359.037 2212 17 1 0 1 0 0 0 0 0 0 37.7669 107039 0 0 0 -1.41596 0.109707 0 0 7981.55 
0.577645 2.05697 107040 -2.39773 2.26438 8948.5 359.019 2212 18 1 0 1 0 0 0 0 0 0 37.4388 107044 0 0 0 -1.76531 -2.57436 0 0 8059.28 
0.137818 0.185259 107040 -4.23122 0.90031 8859.42 359.04 2212 19 1 0 1 0 0 0 0 0 0 37.8132 107039 0 0 0 -3.09079 -0.144711 0 0 7970.69 
-0.864087 1.16813 107040 -2.38208 1.53615 8868.26 359.037 2212 20 1 0 1 0 0 0 0 0 0 37.7757 107039 0 0 0 -0.544113 -0.782289 0 0 7979.49 
-0.169446 -1.3359 107040 4.58502 1.27642 8907.61 359.028 2212 21 1 0 1 0 0 0 0 0 0 37.6097 107042 0 0 0 3.14994 -0.030038 0 0 8018.62 
0.896936 -0.244305 107040 -2.48381 1.79177 8903.13 359.029 2212 22 1 0 1 0 0 0 0 0 0 37.6286 107042 0 0 0 -2.65438 -0.590002 0 0 8014.16 
-1.1779 -0.409885 107040 -3.74899 3.24583 8858.13 359.04 2212 23 1 0 1 0 0 0 0 0 0 37.8188 107039 0 0 0 -1.11183 0.222497 0 0 7969.41 
-0.30272 1.61787 107040 2.85591 1.81256 8873.61 359.036 2212 24 1 0 1 0 0 0 0 0 0 37.7531 107040 0 0 0 2.12258 -1.1423 0 0 7984.8 
0.190437 0.681746 107040 -4.93432 3.25658 8932.6 359.023 2212 25 1 0 1 0 0 0 0 0 0 37.5051 107043 0 0 0 -2.75022 -1.69719 0 0 8043.47 
0.550034 -0.808102 107040 -3.6285 2.40792 8925 359.025 2212 26 1 0 1 0 0 0 0 0 0 37.5368 107043 0 0 0 -2.77192 -0.717401 0 0 8035.92 
-0.0840325 -0.600495 107040 0.75655 1.77695 8887 359.033 2212 27 1 0 1 0 0 0 0 0 0 37.6965 107040 0 0 0 0.521225 -0.123721 0 0 7998.12 
-0.671835 2.67497 107040 -0.33041 2.03124 8931 359.023 2212 28 1 0 1 0 0 0 0 0 0 37.5117 107043 0 0 0 0.913127 -2.63448 0 0 8041.88 
1.41879 0.357739 107040 -2.93876 1.6062 8896.87 359.031 2212 29 1 0 1 0 0 0 0 0 0 37.6549 107041 0 0 0 -3.62692 -0.747756 0 0 8007.94 
-0.705585 -3.54044 107040 0.736142 3.05881 8909.71 359.028 2212 30 1 0 1 0 0 0 0 0 0 37.6009 107042 0 0 0 1.42607 0.951623 0 0 8020.71 
-1.45871 1.70234 107040 -1.43691 3.49433 8915.77 359.026 2212 31 1 0 1 0 0 0 0 0 0 37.5755 107042 0 0 0 1.16862 -1.92989 0 0 8026.73 
1.4715 -2.13762 107040 -0.99413 0.672603 8846.71 359.043 2212 32 1 0 1 0 0 0 0 0 0 37.8673 107038 0 0 0 -2.67106 1.30847 0 0 7958.05 
-0.221656 -5.07252 107040 1.08002 2.64097 8895.36 359.032 2212 33 1 0 1 0 0 0 0 0 0 37.6613 107041 0 0 0 0.90154 2.09465 0 0 8006.44 
-0.00115454 -3.68591 107040 0.177004 2.9365 8860.76 359.04 2212 34 1 0 1 0 0 0 0 0 0 37.8076 107039 0 0 0 -0.043826 1.8865 0 0 7972.03 
-0.345408 -1.07033 107040 -0.796428 2.13902 8869.67 359.037 2212 35 1 0 1 0 0 0 0 0 0 37.7698 107039 0 0 0 -0.172659 0.439301 0 0 7980.88 
-0.692286 -2.17593 107040 3.47246 1.49693 8880.16 359.035 2212 36 1 0 1 0 0 0 0 0 0 37.7254 107040 0 0 0 2.92244 0.868357 0 0 7991.32 
0.154624 -1.70432 107040 3.03303 0.552475 8918.81 359.026 2212 37 1 0 1 0 0 0 0 0 0 37.5627 107042 0 0 0 1.77554 0.098013 0 0 8029.76 
-1.03121 -3.21521 107040 -3.37485 0.949493 8899.52 359.03 2212 38 1 0 1 0 0 0 0 0 0 37.6438 107041 0 0 0 -0.669661 1.15274 0 0 8010.57 
1.17152 -1.43287 107040 0.420277 3.57293 8907.23 359.029 2212 39 1 0 1 0 0 0 0 0 0 37.6113 107042 0 0 0 -1.31393 -0.188452 0 0 8018.24 
1.06751 -0.230743 107040 4.29451 1.60236 8903.01 359.029 2212 40 1 0 1 0 0 0 0 0 0 37.629 107041 0 0 0 1.199 -0.571728 0 0 8014.05 
-0.136939 3.22861 107040 4.32009 1.0102 8918.27 359.025 2212 41 1 0 1 0 0 0 0 0 0 37.5649 107042 0 0 0 2.84831 -2.58743 0 0 8029.22 
-0.420325 -0.743423 107040 -2.41937 1.32262 8877.97 359.035 2212 42 1 0 1 0 0 0 0 0 0 37.7346 107040 0 0 0 -1.10062 0.115396 0 0 7989.14 
-0.775453 0.808828 107040 -2.08321 1.85694 8889.52 359.032 2212 43 1 0 1 0 0 0 0 0 0 37.6859 107041 0 0 0 -0.259621 -0.908692 0 0 8000.63 
0.140471 0.632032 107040 -0.776955 3.69509 8911.48 359.028 2212 44 1 0 1 0 0 0 0 0 0 37.5935 107042 0 0 0 -0.559687 -1.33047 0 0 8022.46 
1.71329 3.02762 107040 2.57609 3.55301 8954.8 359.018 2212 45 1 0 1 0 0 0 0 0 0 37.4126 107045 0 0 0 -0.475055 -3.35941 0 0 8065.55 
-1.03642 0.83435 107040 -1.65614 2.78202 8878.61 359.035 2212 46 1 0 1 0 0 0 0 0 0 37.7319 107040 0 0 0 0.206093 -0.812193 0 0 7989.78 
-1.07464 -6.57159 107040 -0.340547 3.85272 8859.44 359.041 2212 47 1 0 1 0 0 0 0 0 0 37.8132 107039 0 0 0 1.00445 3.41747 0 0 7970.71 
0.894463 1.79664 107040 -0.178414 3.43486 8817.74 359.05 2212 48 1 0 1 0 0 0 0 0 0 37.9911 107036 0 0 0 -1.42325 -0.142814 0 0 7929.25 
-0.700626 2.32555 107040 0.36666 1.07102 8838.17 359.045 2212 49 1 0 1 0 0 0 0 0 0 37.9037 107037 0 0 0 0.89123 -0.960036 0 0 7949.56 
-0.0541583 2.48506 107040 0.00852331 3.05904 8955.57 359.017 2212 50 1 0 1 0 0 0 0 0 0 37.4094 107045 0 0 0 0.502408 -3.06672 0 0 8066.32 
0.104123 -3.41189 107040 -3.10797 4.39747 8906.35 359.029 2212 51 1 0 1 0 0 0 0 0 0 37.6151 107042 0 0 0 -1.8924 0.861667 0 0 8017.36 
2.34483 1.98005 107040 0.521411 0.694354 8864.96 359.038 2212 52 1 0 1 0 0 0 0 0 0 37.7897 107039 0 0 0 -2.80657 -1.16298 0 0 7976.2 
