#BLTrackFile2 VD_DSCollimator
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.51556 -0.973088 159760 -0.594951 -6.2235 8912.13 535.854 2212 1 1 0 1 0 0 0 0 0 0 56.1048 159762 0 0 0 1.75026 0.73893 0 0 8023.12 
-64.2234 -1.16058 159760 -28.2594 -3.5546 8881.55 535.868 2212 2 1 0 1 0 0 0 0 0 0 56.2971 159760 0 0 0 -2.18434 -0.461093 0 0 7992.75 
29.9483 -1.93156 159760 13.2264 -4.00204 8850.69 535.882 2212 3 1 0 1 0 0 0 0 0 0 56.4928 159758 0 0 0 2.6851 -1.04083 0 0 7962.03 
17.1705 -1.57112 159760 7.58689 -3.74009 8869.85 535.873 2212 4 1 0 1 0 0 0 0 0 0 56.3713 159759 0 0 0 1.49016 -0.910935 0 0 7981.07 
68.6461 -2.28554 159760 30.1907 -7.58618 8866.18 535.875 2212 5 1 0 1 0 0 0 0 0 0 56.3943 159759 0 0 0 3.32011 -0.042043 0 0 7977.47 
-11.8855 -1.64815 159760 -5.21482 -3.7239 8860.19 535.878 2212 6 1 0 1 0 0 0 0 0 0 56.4325 159759 0 0 0 -0.423924 -0.856072 0 0 7971.46 
21.8514 -5.55689 159760 9.62664 -16.1142 8899.28 535.86 2212 7 1 0 1 0 0 0 0 0 0 56.1854 159761 0 0 0 0.68916 -2.01994 0 0 8010.36 
41.1354 0.369331 159760 18.2174 -2.77692 8947.92 535.839 2212 8 1 0 1 0 0 0 0 0 0 55.8811 159764 0 0 0 2.24655 0.810441 0 0 8058.72 
11.9134 -1.43734 159760 5.2698 -3.06315 8920.1 535.85 2212 9 1 0 1 0 0 0 0 0 0 56.0548 159762 0 0 0 0.760796 -1.77945 0 0 8031.04 
1.01918 -1.18171 159760 0.491639 -5.8426 8874.06 535.872 2212 10 1 0 1 0 0 0 0 0 0 56.3447 159760 0 0 0 0.9334 0.863595 0 0 7985.25 
-58.318 -1.03975 159760 -25.6619 -5.92768 8861.59 535.878 2212 11 1 0 1 0 0 0 0 0 0 56.4235 159759 0 0 0 -3.07635 1.4294 0 0 7972.89 
-34.9289 -2.5057 159760 -15.404 -6.26231 8889.47 535.864 2212 12 1 0 1 0 0 0 0 0 0 56.2472 159761 0 0 0 -1.78445 -1.51091 0 0 8000.59 
-23.4209 0.0220611 159760 -10.412 -2.57277 8892.69 535.863 2212 13 1 0 1 0 0 0 0 0 0 56.227 159761 0 0 0 -3.02079 0.959189 0 0 8003.78 
-10.1227 0.0258416 159760 -4.35824 0.44627 8884.24 535.866 2212 14 1 0 1 0 0 0 0 0 0 56.2803 159760 0 0 0 1.83979 -0.523772 0 0 7995.38 
7.50218 -0.154725 159760 3.25891 -0.838177 8868.47 535.874 2212 15 1 0 1 0 0 0 0 0 0 56.3801 159759 0 0 0 -0.749481 0.043346 0 0 7979.69 
-21.6554 -2.1405 159760 -9.42923 -7.31382 8854.8 535.88 2212 16 1 0 1 0 0 0 0 0 0 56.4668 159759 0 0 0 0.800953 0.323179 0 0 7966.11 
-33.2146 -0.578291 159760 -14.6087 -2.38006 8870.33 535.873 2212 17 1 0 1 0 0 0 0 0 0 56.3682 159759 0 0 0 -1.41596 0.109707 0 0 7981.55 
-30.9212 -2.84732 159760 -13.7215 -7.5401 8948.48 535.838 2212 18 1 0 1 0 0 0 0 0 0 55.8776 159764 0 0 0 -1.76531 -2.57436 0 0 8059.28 
-61.2108 -1.00598 159760 -26.9239 -2.99403 8859.38 535.878 2212 19 1 0 1 0 0 0 0 0 0 56.4375 159759 0 0 0 -3.09079 -0.144711 0 0 7970.69 
-40.3739 -1.97946 159760 -17.7062 -5.15526 8868.24 535.874 2212 20 1 0 1 0 0 0 0 0 0 56.3814 159759 0 0 0 -0.544113 -0.782289 0 0 7979.49 
65.5883 -0.85843 159760 28.9635 -4.11089 8907.56 535.856 2212 21 1 0 1 0 0 0 0 0 0 56.1332 159762 0 0 0 3.14994 -0.030038 0 0 8018.62 
-30.4889 -1.74152 159760 -13.5152 -5.88771 8903.11 535.858 2212 22 1 0 1 0 0 0 0 0 0 56.1614 159762 0 0 0 -2.65438 -0.590002 0 0 8014.16 
-62.5017 -3.28449 159760 -27.3989 -10.7316 8858.08 535.879 2212 23 1 0 1 0 0 0 0 0 0 56.4457 159759 0 0 0 -1.11183 0.222497 0 0 7969.41 
39.874 -2.40599 159760 17.5735 -6.09676 8873.59 535.871 2212 24 1 0 1 0 0 0 0 0 0 56.3475 159760 0 0 0 2.12258 -1.1423 0 0 7984.8 
-70.2274 -3.45484 159760 -31.0753 -10.7376 8932.54 535.846 2212 25 1 0 1 0 0 0 0 0 0 55.9768 159764 0 0 0 -2.75022 -1.69719 0 0 8043.47 
-49.1249 -2.14174 159760 -21.753 -7.85572 8924.97 535.849 2212 26 1 0 1 0 0 0 0 0 0 56.0242 159763 0 0 0 -2.77192 -0.717401 0 0 8035.92 
10.5076 -1.62506 159760 4.63523 -5.82213 8886.99 535.865 2212 27 1 0 1 0 0 0 0 0 0 56.2629 159760 0 0 0 0.521225 -0.123721 0 0 7998.12 
-8.99197 -2.88443 159760 -3.92936 -6.86483 8931 535.846 2212 28 1 0 1 0 0 0 0 0 0 55.9867 159763 0 0 0 0.913127 -2.63448 0 0 8041.88 
