#BLTrackFile2 VD_Diagnostic_078
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.33161 -14.1336 174000 3.67871 -16.2508 8912.12 583.616 2212 1 1 0 1 0 0 0 0 0 0 61.1056 174002 0 0 0 1.75026 0.73893 0 0 8023.12 
0.964242 -13.4964 174000 -2.57888 -15.3573 8874.05 583.636 2212 10 1 0 1 0 0 0 0 0 0 61.3669 174000 0 0 0 0.9334 0.863595 0 0 7985.25 
2.35653 -21.927 174000 -6.43629 -24.9421 8860.73 583.643 2212 34 1 0 1 0 0 0 0 0 0 61.4587 173999 0 0 0 -0.043826 1.8865 0 0 7972.03 
2.71621 -27.8911 174000 -7.56512 -30.7988 8817.68 583.666 2212 48 1 0 1 0 0 0 0 0 0 61.7577 173996 0 0 0 -1.42325 -0.142814 0 0 7929.25 
0.900554 -9.27695 174000 -2.41883 -10.0385 8838.16 583.654 2212 49 1 0 1 0 0 0 0 0 0 61.6153 173997 0 0 0 0.89123 -0.960036 0 0 7949.56 
-0.196096 -24.4039 174000 0.529253 -27.1799 8955.53 583.595 2212 50 1 0 1 0 0 0 0 0 0 60.8102 174005 0 0 0 0.502408 -3.06672 0 0 8066.32 
0.387666 -23.399 174000 -1.04025 -26.3301 8891.09 583.627 2212 59 1 0 1 0 0 0 0 0 0 61.2495 174001 0 0 0 0.230683 -0.170985 0 0 8002.22 
1.8207 -21.3691 174000 -4.93792 -24.2614 8916.86 583.614 2212 62 1 0 1 0 0 0 0 0 0 61.0731 174002 0 0 0 -0.382349 0.013883 0 0 8027.85 
2.68475 -19.1598 174000 -7.2795 -21.1402 8867.06 583.639 2212 74 1 0 1 0 0 0 0 0 0 61.415 173999 0 0 0 0.907446 -1.31074 0 0 7978.32 
-1.81032 -7.18393 174000 4.8607 -8.13161 8883.94 583.631 2212 107 1 0 1 0 0 0 0 0 0 61.2988 174000 0 0 0 -1.38131 0.029823 0 0 7995.08 
-2.3001 -13.3525 174000 6.27011 -14.6739 8893.07 583.626 2212 118 1 0 1 0 0 0 0 0 0 61.236 174001 0 0 0 0.511387 -1.70945 0 0 8004.17 
-1.99325 -12.1776 174000 5.56438 -13.811 8860.88 583.643 2212 121 1 0 1 0 0 0 0 0 0 61.4578 173999 0 0 0 2.2418 0.802105 0 0 7972.16 
-0.383952 -21.6917 174000 1.00098 -24.7461 8924.17 583.611 2212 149 1 0 1 0 0 0 0 0 0 61.0233 174003 0 0 0 -0.692242 0.38379 0 0 8035.12 
-2.49402 -18.2545 174000 6.8114 -20.8888 8869.75 583.638 2212 150 1 0 1 0 0 0 0 0 0 61.3965 174000 0 0 0 -0.007206 1.69131 0 0 7980.99 
-1.71003 -10.5059 174000 4.68387 -12.1528 8913.1 583.616 2212 159 1 0 1 0 0 0 0 0 0 61.0989 174002 0 0 0 1.29516 0.622357 0 0 8024.08 
0.0458349 -19.0188 174000 -0.255255 -21.5056 8921.53 583.612 2212 170 1 0 1 0 0 0 0 0 0 61.0413 174003 0 0 0 -2.64514 -0.472126 0 0 8032.48 
1.38956 -10.139 174000 -3.71219 -11.4424 8901.37 583.622 2212 193 1 0 1 0 0 0 0 0 0 61.1791 174001 0 0 0 1.224 -0.401316 0 0 8012.42 
0.366773 -16.716 174000 -1.00484 -18.9422 8862.81 583.642 2212 198 1 0 1 0 0 0 0 0 0 61.4444 173999 0 0 0 -0.223372 1.08984 0 0 7974.09 
1.4699 -18.3271 174000 -3.8913 -20.5708 8898.79 583.623 2212 204 1 0 1 0 0 0 0 0 0 61.1967 174001 0 0 0 2.08026 -0.536048 0 0 8009.88 
0.801612 -1.47369 174000 -2.20457 -1.58795 8952.69 583.596 2212 214 1 0 1 0 0 0 0 0 0 60.8297 174005 0 0 0 -0.746072 -1.4574 0 0 8063.45 
-1.67087 -21.6007 174000 4.53709 -24.3136 8876.69 583.635 2212 215 1 0 1 0 0 0 0 0 0 61.3486 174000 0 0 0 -0.420673 0.249819 0 0 7987.9 
2.12701 -11.9175 174000 -5.6771 -13.7116 8898.48 583.623 2212 217 1 0 1 0 0 0 0 0 0 61.1989 174001 0 0 0 1.91237 0.90196 0 0 8009.55 
-0.858896 -6.39314 174000 2.41121 -7.8843 8922.76 583.611 2212 221 1 0 1 0 0 0 0 0 0 61.0331 174003 0 0 0 2.11576 2.03633 0 0 8033.68 
-0.757968 -29.1089 174000 1.9727 -32.538 8894.26 583.626 2212 226 1 0 1 0 0 0 0 0 0 61.2276 174001 0 0 0 -1.84133 -1.05007 0 0 8005.4 
0.0609155 2.89131 174000 -0.0533302 3.47086 8920.05 583.612 2212 238 1 0 1 0 0 0 0 0 0 61.0515 174002 0 0 0 2.38596 -1.6602 0 0 8030.99 
-1.3467 -10.4008 174000 3.60202 -11.5709 8918.26 583.613 2212 249 1 0 1 0 0 0 0 0 0 61.0636 174002 0 0 0 -0.668973 -1.34765 0 0 8029.22 
-2.87234 -12.1262 174000 7.71881 -14.015 8907.98 583.619 2212 251 1 0 1 0 0 0 0 0 0 61.1339 174002 0 0 0 -1.08341 0.921794 0 0 8019 
2.74561 -12.3873 174000 -7.42787 -14.0054 8842.56 583.652 2212 272 1 0 1 0 0 0 0 0 0 61.5847 173998 0 0 0 2.03725 1.06254 0 0 7953.95 
0.178898 -7.68053 174000 -0.49305 -8.66936 8851.82 583.647 2212 285 1 0 1 0 0 0 0 0 0 61.5206 173998 0 0 0 -0.252388 0.532589 0 0 7963.14 
-1.58652 -13.026 174000 4.48391 -14.8715 8873.86 583.636 2212 308 1 0 1 0 0 0 0 0 0 61.3682 174000 0 0 0 3.1625 1.06801 0 0 7985.06 
-2.0809 -12.8396 174000 5.60585 -14.3175 8885.74 583.63 2212 310 1 0 1 0 0 0 0 0 0 61.2864 174000 0 0 0 -1.19352 -0.734202 0 0 7996.88 
2.64351 -25.4253 174000 -7.03322 -28.5922 8945.48 583.6 2212 312 1 0 1 0 0 0 0 0 0 60.8782 174004 0 0 0 1.97437 -1.71223 0 0 8056.33 
2.94814 -10.9637 174000 -8.10364 -12.4114 8845.43 583.651 2212 315 1 0 1 0 0 0 0 0 0 61.5648 173998 0 0 0 -0.384612 0.899589 0 0 7956.79 
-1.52741 -6.66691 174000 4.13001 -7.57055 8856.37 583.645 2212 362 1 0 1 0 0 0 0 0 0 61.4891 173999 0 0 0 -1.2378 0.555403 0 0 7967.66 
-1.45762 -7.75452 174000 4.01668 -8.67492 8896.21 583.624 2212 372 1 0 1 0 0 0 0 0 0 61.2145 174001 0 0 0 1.21789 -0.589849 0 0 8007.29 
2.35411 -13.3984 174000 -6.49335 -15.2102 8876.77 583.634 2212 377 1 0 1 0 0 0 0 0 0 61.3481 174000 0 0 0 -1.79247 0.647501 0 0 7987.96 
0.964602 -10.701 174000 -2.52769 -11.8996 8886.01 583.629 2212 400 1 0 1 0 0 0 0 0 0 61.2846 174000 0 0 0 1.89305 -0.729144 0 0 7997.14 
2.21364 -8.78877 174000 -5.91399 -10.0952 8925.3 583.61 2212 404 1 0 1 0 0 0 0 0 0 61.0157 174003 0 0 0 1.28667 -0.108582 0 0 8036.22 
2.59192 -23.4714 174000 -7.15333 -26.4165 8846.23 583.651 2212 495 1 0 1 0 0 0 0 0 0 61.5591 173998 0 0 0 -0.973413 1.28679 0 0 7957.62 
-1.40118 -2.80112 174000 3.82513 -3.38907 8869.5 583.638 2212 501 1 0 1 0 0 0 0 0 0 61.3984 173999 0 0 0 -3.9e-05 0.926899 0 0 7980.71 
0.469955 -11.1477 174000 -1.18219 -12.5001 8878.09 583.634 2212 507 1 0 1 0 0 0 0 0 0 61.3391 174000 0 0 0 1.93439 -0.151391 0 0 7989.27 
-2.38188 -20.1392 174000 6.48586 -22.6022 8851.37 583.648 2212 508 1 0 1 0 0 0 0 0 0 61.5235 173998 0 0 0 -0.94367 0.769193 0 0 7962.72 
1.88034 -17.8795 174000 -5.00005 -20.1627 8901.47 583.622 2212 521 1 0 1 0 0 0 0 0 0 61.1784 174001 0 0 0 2.0464 -0.317228 0 0 8012.53 
-0.296498 -20.9995 174000 0.88544 -23.2182 8882.97 583.631 2212 530 1 0 1 0 0 0 0 0 0 61.3053 174000 0 0 0 1.54638 -1.57726 0 0 7994.15 
-2.85047 0.904225 174000 7.68894 0.855026 8879.27 583.633 2212 557 1 0 1 0 0 0 0 0 0 61.331 174000 0 0 0 -1.47259 0.385496 0 0 7990.44 
1.91026 -11.2756 174000 -5.1048 -12.5388 8844.61 583.651 2212 571 1 0 1 0 0 0 0 0 0 61.5705 173998 0 0 0 2.62663 0.091146 0 0 7955.98 
-1.77704 -1.17065 174000 4.90005 -1.4987 8885.15 583.63 2212 574 1 0 1 0 0 0 0 0 0 61.2905 174000 0 0 0 1.28877 0.428428 0 0 7996.29 
3.00854 -7.01202 174000 -8.01395 -7.84629 8914.38 583.615 2212 577 1 0 1 0 0 0 0 0 0 61.0901 174002 0 0 0 2.66337 -0.945579 0 0 8025.36 
