#BLTrackFile2 MW932
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.91173 1.29225 166780 1.44671 -3.34954 8912.14 559.4 2212 1 1 0 1 0 0 0 0 0 0 58.5701 166782 0 0 0 1.75026 0.73893 0 0 8023.12 
4.55532 -1.10046 166780 7.29991 0.071825 8881.59 559.414 2212 2 1 0 1 0 0 0 0 0 0 58.7708 166780 0 0 0 -2.18434 -0.461093 0 0 7992.75 
0.00517147 -3.1491 166780 -1.8664 2.18818 8850.7 559.429 2212 3 1 0 1 0 0 0 0 0 0 58.9752 166778 0 0 0 2.6851 -1.04083 0 0 7962.03 
0.593922 -2.30985 166780 -0.629852 1.32905 8869.86 559.42 2212 4 1 0 1 0 0 0 0 0 0 58.8483 166779 0 0 0 1.49016 -0.910935 0 0 7981.07 
-2.3971 -1.81436 166780 -5.94734 -0.430823 8866.23 559.422 2212 5 1 0 1 0 0 0 0 0 0 58.8723 166779 0 0 0 3.32011 -0.042043 0 0 7977.47 
1.46844 -2.48124 166780 1.84039 1.53439 8860.19 559.425 2212 6 1 0 1 0 0 0 0 0 0 58.9123 166779 0 0 0 -0.423924 -0.856072 0 0 7971.46 
-0.325878 -6.18774 166780 -1.5337 1.57387 8899.3 559.406 2212 7 1 0 1 0 0 0 0 0 0 58.6542 166781 0 0 0 0.68916 -2.01994 0 0 8010.36 
-0.716581 3.06216 166780 -3.08771 -4.06174 8947.93 559.383 2212 8 1 0 1 0 0 0 0 0 0 58.3365 166784 0 0 0 2.24655 0.810441 0 0 8058.72 
0.310464 -2.41604 166780 -0.470261 1.59624 8920.1 559.396 2212 9 1 0 1 0 0 0 0 0 0 58.5179 166782 0 0 0 0.760796 -1.77945 0 0 8031.04 
1.33679 0.371327 166780 0.907549 -2.26261 8874.06 559.418 2212 10 1 0 1 0 0 0 0 0 0 58.8205 166780 0 0 0 0.9334 0.863595 0 0 7985.25 
3.48916 1.06403 166780 6.19928 -3.03304 8861.63 559.425 2212 11 1 0 1 0 0 0 0 0 0 58.9028 166779 0 0 0 -3.07635 1.4294 0 0 7972.89 
2.19414 -3.42959 166780 3.82997 1.72515 8889.49 559.41 2212 12 1 0 1 0 0 0 0 0 0 58.7188 166781 0 0 0 -1.78445 -1.51091 0 0 8000.59 
0.743358 1.92675 166780 2.16278 -2.88859 8892.69 559.409 2212 13 1 0 1 0 0 0 0 0 0 58.6977 166781 0 0 0 -3.02079 0.959189 0 0 8003.78 
2.83415 -0.242106 166780 2.61033 0.40254 8884.24 559.413 2212 14 1 0 1 0 0 0 0 0 0 58.7533 166780 0 0 0 1.83979 -0.523772 0 0 7995.38 
-0.315282 0.123864 166780 -0.578915 -0.399558 8868.47 559.421 2212 15 1 0 1 0 0 0 0 0 0 58.8575 166779 0 0 0 -0.749481 0.043346 0 0 7979.69 
3.44011 -1.38506 166780 3.76751 -0.779536 8854.81 559.428 2212 16 1 0 1 0 0 0 0 0 0 58.948 166779 0 0 0 0.800953 0.323179 0 0 7966.11 
