#BLTrackFile2 Control
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-0.880148 -1.35193 113797 0.899669 1.36569 8912.14 381.691 2212 1 1 0 1 0 0 0 0 0 0 39.9637 113799 0 0 0 1.75026 0.73893 0 0 8023.12 
-3.77275 0.937377 113797 -1.46663 1.71004 8881.59 381.699 2212 2 1 0 1 0 0 0 0 0 0 40.1004 113797 0 0 0 -2.18434 -0.461093 0 0 7992.75 
0.86875 2.84524 113797 1.72587 2.89233 8850.7 381.707 2212 3 1 0 1 0 0 0 0 0 0 40.2396 113795 0 0 0 2.6851 -1.04083 0 0 7962.03 
0.514455 2.0575 113797 0.97705 2.3886 8869.86 381.702 2212 4 1 0 1 0 0 0 0 0 0 40.1532 113796 0 0 0 1.49016 -0.910935 0 0 7981.07 
3.4861 1.48301 113797 2.21442 3.36946 8866.23 381.703 2212 5 1 0 1 0 0 0 0 0 0 40.1695 113796 0 0 0 3.32011 -0.042043 0 0 7977.47 
-0.762108 2.22411 113797 -0.194523 2.46672 8860.19 381.704 2212 6 1 0 1 0 0 0 0 0 0 40.1968 113796 0 0 0 -0.423924 -0.856072 0 0 7971.46 
1.28539 5.3579 113797 0.505926 8.36448 8899.3 381.694 2212 7 1 0 1 0 0 0 0 0 0 40.021 113798 0 0 0 0.68916 -2.01994 0 0 8010.36 
2.03452 -2.85696 113797 1.44386 -0.607839 8947.94 381.682 2212 8 1 0 1 0 0 0 0 0 0 39.8046 113801 0 0 0 2.24655 0.810441 0 0 8058.72 
0.579593 2.17094 113797 0.421692 2.22097 8920.1 381.688 2212 9 1 0 1 0 0 0 0 0 0 39.9281 113799 0 0 0 0.760796 -1.77945 0 0 8031.04 
-0.415624 -0.519727 113797 0.584775 1.68725 8874.06 381.701 2212 10 1 0 1 0 0 0 0 0 0 40.1343 113797 0 0 0 0.9334 0.863595 0 0 7985.25 
-2.96157 -1.18244 113797 -1.86587 1.33552 8861.63 381.704 2212 11 1 0 1 0 0 0 0 0 0 40.1903 113796 0 0 0 -3.07635 1.4294 0 0 7972.89 
-1.78479 3.05197 113797 -1.11807 3.78405 8889.49 381.696 2212 12 1 0 1 0 0 0 0 0 0 40.0649 113798 0 0 0 -1.78445 -1.51091 0 0 8000.59 
-0.327932 -1.86528 113797 -1.77881 -0.157395 8892.69 381.696 2212 13 1 0 1 0 0 0 0 0 0 40.0506 113798 0 0 0 -3.02079 0.959189 0 0 8003.78 
-1.64484 0.237905 113797 1.00674 -0.0200838 8884.24 381.698 2212 14 1 0 1 0 0 0 0 0 0 40.0885 113797 0 0 0 1.83979 -0.523772 0 0 7995.38 
0.860838 -0.140122 113797 -0.324977 0.204624 8868.47 381.702 2212 15 1 0 1 0 0 0 0 0 0 40.1594 113796 0 0 0 -0.749481 0.043346 0 0 7979.69 
-2.10557 1.0997 113797 0.495552 3.05582 8854.81 381.706 2212 16 1 0 1 0 0 0 0 0 0 40.2211 113796 0 0 0 0.800953 0.323179 0 0 7966.11 
-1.87512 0.0187881 113797 -0.845084 0.809103 8870.34 381.702 2212 17 1 0 1 0 0 0 0 0 0 40.151 113796 0 0 0 -1.41596 0.109707 0 0 7981.55 
-1.24045 3.53887 113797 -1.42428 4.50357 8948.5 381.682 2212 18 1 0 1 0 0 0 0 0 0 39.8021 113801 0 0 0 -1.76531 -2.57436 0 0 8059.28 
-3.17561 0.833618 113797 -1.8784 1.46112 8859.42 381.705 2212 19 1 0 1 0 0 0 0 0 0 40.2003 113796 0 0 0 -3.09079 -0.144711 0 0 7970.69 
-2.80322 2.20087 113797 -0.405401 2.93945 8868.26 381.702 2212 20 1 0 1 0 0 0 0 0 0 40.1604 113796 0 0 0 -0.544113 -0.782289 0 0 7979.49 
3.39945 -0.284959 113797 2.06445 1.23276 8907.61 381.692 2212 21 1 0 1 0 0 0 0 0 0 39.9838 113799 0 0 0 3.14994 -0.030038 0 0 8018.62 
-0.97243 1.09249 113797 -1.67516 2.58397 8903.13 381.693 2212 22 1 0 1 0 0 0 0 0 0 40.0039 113799 0 0 0 -2.65438 -0.590002 0 0 8014.16 
-4.21765 2.02112 113797 -0.759753 4.70712 8858.13 381.705 2212 23 1 0 1 0 0 0 0 0 0 40.2061 113796 0 0 0 -1.11183 0.222497 0 0 7969.41 
1.91339 2.81389 113797 1.4211 3.58213 8873.61 381.701 2212 24 1 0 1 0 0 0 0 0 0 40.1363 113797 0 0 0 2.12258 -1.1423 0 0 7984.8 
-3.63807 3.00816 113797 -2.23461 5.28108 8932.6 381.686 2212 25 1 0 1 0 0 0 0 0 0 39.8726 113800 0 0 0 -2.75022 -1.69719 0 0 8043.47 
