data_label,Current,Field,Eff Length,Gradient
sample_0_1,0.0,0.0286806,0.4572,0.06273097112860893
sample_1_1,4.0,0.10372461679777023,0.4572,0.22686924059004862
sample_2_1,8.0,0.17869581910800383,0.4572,0.3908482482677249
sample_3_1,12.0,0.2536041490712294,0.4572,0.5546897398758298
sample_4_1,16.0,0.3284591411815015,0.4572,0.7184145695133454
sample_5_1,20.0,0.40326992228639996,0.4572,0.8820426996640419
sample_6_1,24.0,0.478045211587031,0.4572,1.0455932011964808
sample_7_1,28.0,0.5527933206380263,0.4572,1.209084253364012
sample_8_1,32.0,0.6275221533475431,0.4572,1.372533143804775
sample_9_1,36.0,0.7022392059772646,0.4572,1.5359562685416988
sample_10_1,40.0,0.7769515671424001,0.4572,1.6993691319825024
sample_11_1,44.0,0.851665917811684,0.4572,1.8627863469196937
sample_12_1,48.0,0.9263885313073765,0.4572,2.02622163453057
sample_13_1,52.0,1.0011252733052645,0.4572,2.189687824377219
sample_14_1,56.0,1.0758816018346598,0.4572,2.3531968544065176
sample_15_1,60.0,1.1506625672783999,0.4572,2.516759770950131
sample_16_1,64.0,1.2254728123728487,0.4572,2.6803867287245158
sample_17_1,68.0,1.300316572207895,0.4572,2.8440869908309168
sample_18_1,72.0,1.3751976742269543,0.4572,3.007868928755368
sample_19_1,76.0,1.4501195382269672,0.4572,3.1717400223686947
sample_20_1,80.0,1.5250851763584,0.4572,3.335706859926509
sample_21_1,84.0,1.6000971931252455,0.4572,3.4997751380692157
sample_22_1,88.0,1.6751577853850215,0.4572,3.6639496618220067
sample_23_1,92.0,1.750268742348772,0.4572,3.8282343445948643
sample_24_1,96.0,1.8254314455810658,0.4572,3.9926322081825587
sample_25_1,100.0,1.9006468689999998,0.4572,4.157145382764654
sample_26_1,104.0,1.9759155788771943,0.4572,4.321775106905499
sample_27_1,108.0,2.0512377338377954,0.4572,4.4865217275542335
sample_28_1,112.0,2.126613084860477,0.4572,4.6513847000447885
sample_29_1,116.0,2.2020409752774373,0.4572,4.816362588095882
sample_30_1,120.0,2.2775203407744,0.4572,4.981453063811023
