,alpha,beta,emit
file2 x scipy,0.717882596,18.31005577,3.55e-07
file2 x gekko,0.717878674,18.30995616,3.55e-07
file2 y scipy,-0.373722319,11.45104993,6.92e-07
file2 y gekko,-0.373650281,11.44872316,6.92e-07
,,,
,,,
,,,
,,,
file2 x scipy,0.717882596,18.31005578,3.55e-07
file2 x gekko,0.717881529,18.30996894,3.55e-07
file2 y scipy,-0.419209861,12.04122937,6.57e-07
file2 y gekko,,,
file2 x scipy,0.717882596,18.31005578,3.55e-07
file2 x gekko,0.717881529,18.30996894,3.55e-07
file2 y scipy,-0.297059297,11.75554835,7.28e-07
file2 y gekko,-0.297031198,11.75459138,7.28e-07
file2 x scipy,0.717882596,18.31005578,3.55e-07
file2 x gekko,0.717881529,18.30996894,3.55e-07
file2 y scipy,-1.313154807,21.00203823,3.81e-07
file2 y gekko,-1.313035929,21.00014459,3.81e-07
file2 x scipy,0.717882596,18.31005578,3.55e-07
file2 x gekko,0.717881529,18.30996894,3.55e-07
file2 y scipy,-1.046614254,17.83391912,4.42e-07
file2 y gekko,-1.046297412,17.82863005,4.42e-07
file2 x scipy,0.7178825944955414,18.31005576903894,3.5488422671004177e-07
file2 x gekko,0.71788152804,18.309968931,3.5488496659e-07
file2 y scipy,-1.046614263090448,17.83391924776981,4.418946438138563e-07
file2 y gekko,-1.0462961558,17.828609118,4.4196034193e-07
file2 x scipy,0.7178825944955414,18.31005576903894,3.5488422671004177e-07
file2 x gekko,0.71788152804,18.309968931,3.5488496659e-07
file2 y scipy,-1.046614263090448,17.83391924776981,4.418946438138563e-07
file2 y gekko,-1.0462961558,17.828609118,4.4196034193e-07
file2 x scipy,0.7178825944955414,18.31005576903894,3.5488422671004177e-07
file2 x gekko,0.71788152804,18.309968931,3.5488496659e-07
file2 y scipy,-1.046614263090448,17.83391924776981,4.418946438138563e-07
file2 y gekko,-1.0462961558,17.828609118,4.4196034193e-07
file2 x scipy,0.7178825944955414,18.31005576903894,3.5488422671004177e-07
file2 x gekko,0.71788152804,18.309968931,3.5488496659e-07
file2 y scipy,-1.046614263090448,17.83391924776981,4.418946438138563e-07
file2 y gekko,-1.0462961558,17.828609118,4.4196034193e-07
file2 x scipy,0.7178825944955414,18.31005576903894,3.5488422671004177e-07
file2 x gekko,0.71788152804,18.309968931,3.5488496659e-07
file2 y scipy,-1.046614263090448,17.83391924776981,4.418946438138563e-07
file2 y gekko,-1.0462961558,17.828609118,4.4196034193e-07
