,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 1,-3.7838032319194608,192.10526427054984,4.067448859604232e-08,2.623676913505101,3.340364995967036,4.4735933988996734,0.0
gekko x 1,-3.7838032319194608,192.10526427054984,4.067448859604232e-08,2.623676913505101,3.340364995967036,4.4735933988996734,0.0
scipy x 1,-3.249872137178014,192.9069638913284,4.7207769966097593e-08,2.684619582339581,3.7030833251109967,4.536980246062146,0.0
gekko x 1,-3.249872137178014,192.9069638913284,4.7207769966097593e-08,2.684619582339581,3.7030833251109967,4.536980246062146,0.0
scipy x 1,-5.732192062971715,280.719642459401,2.7023151059655748e-08,2.7287882151210927,3.1749996676683496,4.471514285159304,0.0
gekko x 1,-5.732192062971715,280.719642459401,2.7023151059655748e-08,2.7287882151210927,3.1749996676683496,4.471514285159304,0.0
scipy x 1,-4.196764783520461,209.276392246452,3.758541360679356e-08,2.686106696178335,3.3093442229725105,4.518883443369398,0.0
gekko x 1,-4.196764783520461,209.276392246452,3.758541360679356e-08,2.686106696178335,3.3093442229725105,4.518883443369398,0.0
scipy x 1,-3.512809139697872,180.29004775290937,4.6806582018023137e-08,2.653029548799122,3.5391101707611705,4.623952144596699,0.0
gekko x 1,-3.512809139697872,180.29004775290937,4.6806582018023137e-08,2.653029548799122,3.5391101707611705,4.623952144596699,0.0
scipy x 1,-3.6835588916064848,182.5669681251601,4.5754386790571813e-08,2.624321918829147,3.5448276961630127,4.659820030898607,0.0
gekko x 1,-3.6835588916064848,182.5669681251601,4.5754386790571813e-08,2.624321918829147,3.5448276961630127,4.659820030898607,0.0
scipy x 1,-4.30987788527247,202.4958287633136,3.7667471603753554e-08,2.6437872448402726,3.2898514471592915,4.554263886148857,0.0
gekko x 1,-4.30987788527247,202.4958287633136,3.7667471603753554e-08,2.6437872448402726,3.2898514471592915,4.554263886148857,0.0
scipy x 1,-4.306143820290348,214.86106427263425,3.8481345771549255e-08,2.641388346742785,3.521576303132525,4.614692520740202,0.0
gekko x 1,-4.306143820290348,214.86106427263425,3.8481345771549255e-08,2.641388346742785,3.521576303132525,4.614692520740202,0.0
scipy x 1,-4.889370962171143,255.17522179610685,3.600983928003543e-08,2.738846660872257,3.725565822862865,4.774183934612973,0.0
gekko x 1,-4.889370962171143,255.17522179610685,3.600983928003543e-08,2.738846660872257,3.725565822862865,4.774183934612973,0.0
scipy x 1,-10.650363379097367,572.9008498183354,1.4552907711252484e-08,2.7621411484163683,3.5110129487562443,4.458989610502453,0.0
gekko x 1,-10.650363379097367,572.9008498183354,1.4552907711252484e-08,2.7621411484163683,3.5110129487562443,4.458989610502453,0.0
scipy x 1,-3.6763448750725503,186.5530199879537,4.815923163564165e-08,2.6982142898307675,3.688190602656325,4.7826800746568745,0.0
gekko x 1,-3.6763448750725503,186.5530199879537,4.815923163564165e-08,2.6982142898307675,3.688190602656325,4.7826800746568745,0.0
scipy x 1,-3.960706921569477,205.20634186996205,4.095412629221125e-08,2.717142256151498,3.478900383353692,4.590156320318052,0.0
gekko x 1,-3.960706921569477,205.20634186996205,4.095412629221125e-08,2.717142256151498,3.478900383353692,4.590156320318052,0.0
scipy x 1,-5.263704715508306,225.62643132134795,3.42498463727951e-08,2.71300035343395,3.2961219384069653,4.760698314995966,0.0
gekko x 1,-5.263704715508306,225.62643132134795,3.42498463727951e-08,2.71300035343395,3.2961219384069653,4.760698314995966,0.0
