,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 0,-0.9441645699295695,51.1279505816162,1.412854586036253e-07,2.711773686796857,3.034212227373603,4.493943019863091,1.0
gekko x 0,,,,2.711773686796857,3.034212227373603,4.493943019863091,0.0
scipy x 1,-4.597197295942606,221.80943151176385,3.73135360364376e-08,2.774571412568768,3.3980474085415926,4.693440223667269,0.0
gekko x 1,,,,2.774571412568768,3.3980474085415926,4.693440223667269,0.0
scipy x 2,-1.6099371763781374,64.97092921714692,1.1306513788818015e-07,2.7428532826652856,3.1643968457467775,4.922337154302514,1.0
gekko x 2,,,,2.7428532826652856,3.1643968457467775,4.922337154302514,0.0
scipy x 3,-4.542605569441288,197.46128644246858,3.934895094774688e-08,2.6636033781189523,3.364672516284668,4.741300355030615,0.0
gekko x 3,,,,2.6636033781189523,3.364672516284668,4.741300355030615,0.0
scipy x 4,-8.637655810482174,470.77723473532353,1.911163033496586e-08,2.7076066026244003,3.716286426521165,4.623261915578254,0.0
gekko x 4,,,,2.7076066026244003,3.716286426521165,4.623261915578254,0.0
scipy x 5,-3.136329192129791,144.0002612940141,4.990872337050656e-08,2.620706652835992,3.1768677246615025,4.480140076597886,0.0
gekko x 5,,,,2.620706652835992,3.1768677246615025,4.480140076597886,0.0
scipy x 6,-7.277706759822075,312.45214339701965,2.1472345832593143e-08,2.581422277315118,3.022593748967123,4.430682879083899,0.0
gekko x 6,,,,2.581422277315118,3.022593748967123,4.430682879083899,0.0
scipy x 7,-4.4708036126411494,203.70949735824794,4.196662674293279e-08,2.726043207342269,3.5722046162866077,4.8662395454670015,0.0
gekko x 7,,,,2.726043207342269,3.5722046162866077,4.8662395454670015,0.0
scipy x 8,-4.527116083498407,231.5924221005827,3.6577873562684405e-08,2.811756047871953,3.41525325675358,4.64121193182671,0.0
gekko x 8,,,,2.811756047871953,3.41525325675358,4.64121193182671,0.0
scipy x 9,-4.268932064641143,211.96240788591024,3.928369955969905e-08,2.5914141990636743,3.576858364500321,4.626923869691763,0.0
gekko x 9,,,,2.5914141990636743,3.576858364500321,4.626923869691763,0.0
scipy x 10,-5.50451971580893,336.0545455789926,2.597927497214524e-08,2.5769066267946434,3.6811763385744367,4.374258442952349,0.0
gekko x 10,,,,2.5769066267946434,3.6811763385744367,4.374258442952349,0.0
scipy x 11,-3.242714802740394,183.25104913754964,4.872781762364147e-08,2.6538314964466188,3.652603696197844,4.590331356020724,0.0
gekko x 11,,,,2.6538314964466188,3.652603696197844,4.590331356020724,0.0
scipy x 12,-3.694992899972896,143.31298136465668,5.188220932841693e-08,2.650255553517531,3.3488392651078547,4.8783981308720135,0.0
gekko x 12,,,,2.650255553517531,3.3488392651078547,4.8783981308720135,0.0
scipy x 13,-8.966187518541387,359.6355199204958,1.980880848972742e-08,2.692597828769467,3.1156510420614687,4.700131883864894,0.0
gekko x 13,,,,2.692597828769467,3.1156510420614687,4.700131883864894,0.0
scipy x 14,-3.7103008653684006,197.41181818191995,3.925769440921185e-08,2.626082167829621,3.2999272174402967,4.379421598282236,0.0
gekko x 14,,,,2.626082167829621,3.2999272174402967,4.379421598282236,0.0
scipy x 15,-7.962672839935888,335.437867556045,2.0915493130163312e-08,2.6531770667190426,3.0849655420670916,4.568031800861025,0.0
gekko x 15,,,,2.6531770667190426,3.0849655420670916,4.568031800861025,0.0
scipy x 16,-5.713511691073336,254.41611675113185,3.1956099436481e-08,2.802464148522991,3.351595342145378,4.803171409712149,0.0
gekko x 16,,,,2.802464148522991,3.351595342145378,4.803171409712149,0.0
scipy x 17,-3.252777453901302,173.8784150157967,4.662523197747284e-08,2.5908274708382457,3.464649409690296,4.463152716219456,0.0
gekko x 17,,,,2.5908274708382457,3.464649409690296,4.463152716219456,0.0
scipy x 18,-5.495321782382935,240.12183828310046,3.443065481906314e-08,2.811218280656684,3.3958790519611055,4.884115190081464,0.0
gekko x 18,,,,2.811218280656684,3.3958790519611055,4.884115190081464,0.0
scipy x 19,-7.369293657595003,353.1082575191204,1.9977552653892463e-08,2.658415859907641,3.042991682907239,4.347887863457532,0.0
gekko x 19,,,,2.658415859907641,3.042991682907239,4.347887863457532,0.0
scipy x 20,-3.305343746002399,194.02208548769443,4.3448718594082244e-08,2.6569546480556068,3.483659027049198,4.396136178032285,0.0
gekko x 20,,,,2.6569546480556068,3.483659027049198,4.396136178032285,0.0
scipy x 21,-3.615982237217585,197.05794784789018,4.491578347059521e-08,2.610682487035846,3.709357990955393,4.602280584697006,0.0
gekko x 21,,,,2.610682487035846,3.709357990955393,4.602280584697006,0.0
scipy x 22,-4.511056590113876,217.01721332393006,4.1246603664943e-08,2.7660788819610036,3.6659257365926745,4.870061901246567,0.0
gekko x 22,,,,2.7660788819610036,3.6659257365926745,4.870061901246567,0.0
scipy x 23,-4.009024545092166,219.6363694429053,3.948899628460107e-08,2.8068462955436346,3.459741463296104,4.579271247954184,0.0
gekko x 23,,,,2.8068462955436346,3.459741463296104,4.579271247954184,0.0
scipy x 24,-4.545094428618606,237.09212807931496,3.589314812737996e-08,2.796001116390045,3.4422495298771536,4.611261906971526,0.0
gekko x 24,,,,2.796001116390045,3.4422495298771536,4.611261906971526,0.0
scipy x 25,-8.863562467499458,457.53676660050814,1.7622712245367246e-08,2.6942362827087805,3.3769975210602023,4.501351153156541,0.0
gekko x 25,,,,2.6942362827087805,3.3769975210602023,4.501351153156541,0.0
scipy x 26,-4.044404780423806,199.55883930009963,4.426940335202252e-08,2.764984235250192,3.608155603207456,4.797030201444152,0.0
gekko x 26,,,,2.764984235250192,3.608155603207456,4.797030201444152,0.0
scipy x 27,-2.941727885883411,181.14468936065555,4.9895875597456e-08,2.6479954857727934,3.665201279847055,4.475119907850173,0.0
gekko x 27,,,,2.6479954857727934,3.665201279847055,4.475119907850173,0.0
scipy x 28,-5.79935376057453,261.52735373228677,3.250638686359569e-08,2.6641988991895778,3.5965006518470877,4.8695539474420215,0.0
gekko x 28,,,,2.6641988991895778,3.5965006518470877,4.8695539474420215,0.0
scipy x 29,-3.2603158533825414,195.83177871483224,4.6931745231119466e-08,2.7839742023934533,3.624074903998465,4.560382249788513,0.0
gekko x 29,,,,2.7839742023934533,3.624074903998465,4.560382249788513,0.0
scipy x 30,-3.418860471263911,223.330706684693,3.896217198544551e-08,2.8023329607397947,3.412816368100268,4.32335998690672,0.0
gekko x 30,,,,2.8023329607397947,3.412816368100268,4.32335998690672,0.0
scipy x 31,-7.020054166137737,290.25127553904457,2.3308981979150964e-08,2.5938234971974206,3.0468936740794828,4.522176211010112,0.0
gekko x 31,,,,2.5938234971974206,3.0468936740794828,4.522176211010112,0.0
scipy x 32,-0.887005695449057,37.07234420415469,1.7786208445482458e-07,2.597723032439136,3.0070564184101225,4.914522299090522,1.0
gekko x 32,,,,2.597723032439136,3.0070564184101225,4.914522299090522,0.0
